Adj Close,Close,High,Low,Open,Volume
POLL.JK,POLL.JK,POLL.JK,POLL.JK,POLL.JK,POLL.JK
150.0,150.0,151.0,147.0,149.0,36900
152.0,152.0,154.0,149.0,150.0,229700
150.0,150.0,154.0,148.0,154.0,86800
152.0,152.0,153.0,147.0,148.0,92000
150.0,150.0,151.0,148.0,151.0,53600
148.0,148.0,149.0,147.0,147.0,33800
148.0,148.0,151.0,146.0,147.0,114200
153.0,153.0,154.0,146.0,146.0,378400
149.0,149.0,153.0,149.0,153.0,103800
157.0,157.0,165.0,149.0,149.0,1239000
159.0,159.0,160.0,154.0,155.0,264200
158.0,158.0,160.0,155.0,159.0,58900
158.0,158.0,161.0,155.0,158.0,75800
158.0,158.0,159.0,154.0,156.0,73200
152.0,152.0,158.0,150.0,158.0,46000
154.0,154.0,158.0,153.0,153.0,25000
155.0,155.0,158.0,150.0,157.0,61900
150.0,150.0,155.0,150.0,150.0,76400
150.0,150.0,154.0,149.0,150.0,50400
143.0,143.0,154.0,138.0,149.0,310900
144.0,144.0,148.0,142.0,142.0,276300
142.0,142.0,146.0,142.0,144.0,62000
148.0,148.0,148.0,143.0,144.0,78600
150.0,150.0,150.0,145.0,146.0,57100
148.0,148.0,150.0,148.0,150.0,81300
149.0,149.0,154.0,147.0,152.0,106500
149.0,149.0,149.0,147.0,149.0,16200
149.0,149.0,149.0,148.0,148.0,12900
146.0,146.0,150.0,146.0,147.0,15100
145.0,145.0,150.0,144.0,150.0,530300
149.0,149.0,150.0,145.0,145.0,49600
147.0,147.0,147.0,147.0,147.0,1100
149.0,149.0,149.0,145.0,145.0,18400
153.0,153.0,155.0,148.0,148.0,306500
152.0,152.0,156.0,147.0,153.0,64900
147.0,147.0,154.0,147.0,152.0,139800
165.0,165.0,196.0,152.0,153.0,24296400
161.0,161.0,167.0,156.0,165.0,1861300
157.0,157.0,164.0,156.0,161.0,461800
155.0,155.0,158.0,149.0,157.0,963200
153.0,153.0,154.0,150.0,150.0,184200
150.0,150.0,153.0,150.0,153.0,131600
151.0,151.0,153.0,150.0,153.0,27700
