Adj Close,Close,High,Low,Open,Volume
PPGL.JK,PPGL.JK,PPGL.JK,PPGL.JK,PPGL.JK,PPGL.JK
103.0,103.0,106.0,102.0,106.0,271200
106.0,106.0,106.0,103.0,103.0,310900
102.0,102.0,106.0,102.0,106.0,63000
102.0,102.0,104.0,100.0,102.0,454300
102.0,102.0,104.0,101.0,102.0,45300
101.0,101.0,105.0,101.0,102.0,283200
101.0,101.0,102.0,101.0,102.0,58100
102.0,102.0,103.0,100.0,101.0,240400
102.0,102.0,103.0,101.0,102.0,118500
102.0,102.0,104.0,101.0,102.0,112200
102.0,102.0,103.0,101.0,103.0,152400
101.0,101.0,102.0,100.0,102.0,502200
102.0,102.0,102.0,100.0,101.0,188500
102.0,102.0,103.0,100.0,102.0,209700
101.0,101.0,102.0,100.0,102.0,170400
101.0,101.0,102.0,100.0,102.0,165900
102.0,102.0,103.0,100.0,102.0,128800
102.0,102.0,103.0,100.0,100.0,271300
101.0,101.0,102.0,100.0,101.0,179200
102.0,102.0,102.0,100.0,102.0,576500
100.0,100.0,102.0,100.0,102.0,102400
101.0,101.0,101.0,99.0,100.0,103800
99.0,99.0,100.0,95.0,100.0,510300
99.0,99.0,101.0,95.0,99.0,533400
98.0,98.0,100.0,95.0,99.0,409300
97.0,97.0,99.0,95.0,99.0,297400
98.0,98.0,100.0,96.0,98.0,242500
103.0,103.0,107.0,97.0,97.0,1093900
103.0,103.0,105.0,100.0,103.0,90100
102.0,102.0,103.0,100.0,100.0,57700
101.0,101.0,102.0,98.0,100.0,87800
102.0,102.0,102.0,100.0,100.0,42100
102.0,102.0,107.0,100.0,100.0,209700
101.0,101.0,102.0,100.0,100.0,591100
102.0,102.0,103.0,101.0,101.0,43100
102.0,102.0,103.0,101.0,101.0,61000
100.0,100.0,103.0,100.0,101.0,149100
101.0,101.0,102.0,100.0,100.0,60400
101.0,101.0,102.0,100.0,100.0,54200
102.0,102.0,102.0,100.0,100.0,113900
101.0,101.0,101.0,100.0,101.0,215700
101.0,101.0,101.0,100.0,101.0,118200
103.0,103.0,103.0,100.0,100.0,628500
102.0,102.0,104.0,101.0,101.0,30200
102.0,102.0,102.0,100.0,100.0,31500
101.0,101.0,103.0,101.0,101.0,103500
102.0,102.0,103.0,101.0,101.0,20200
100.0,100.0,101.0,99.0,101.0,456900
99.0,99.0,100.0,98.0,100.0,166700
99.0,99.0,100.0,98.0,99.0,321200
99.0,99.0,100.0,99.0,99.0,267500
100.0,100.0,101.0,99.0,100.0,161600
99.0,99.0,100.0,98.0,99.0,79000
99.0,99.0,101.0,99.0,99.0,126100
99.0,99.0,100.0,98.0,100.0,144600
99.0,99.0,101.0,98.0,100.0,97000
99.0,99.0,101.0,98.0,99.0,166300
99.0,99.0,100.0,96.0,100.0,119700
98.0,98.0,99.0,98.0,99.0,54300
97.0,97.0,100.0,96.0,99.0,390600
98.0,98.0,98.0,95.0,97.0,415300
98.0,98.0,98.0,97.0,98.0,61700
97.0,97.0,98.0,97.0,98.0,57500
97.0,97.0,98.0,96.0,97.0,18100
96.0,96.0,97.0,95.0,97.0,188000
95.0,95.0,97.0,95.0,96.0,135500
95.0,95.0,96.0,94.0,95.0,201200
95.0,95.0,95.0,93.0,95.0,167500
94.0,94.0,95.0,92.0,94.0,173400
94.0,94.0,95.0,93.0,94.0,39100
94.0,94.0,94.0,93.0,94.0,58100
89.0,89.0,94.0,88.0,94.0,958400
89.0,89.0,97.0,88.0,90.0,432600
89.0,89.0,97.0,86.0,90.0,493300
90.0,90.0,93.0,88.0,89.0,268500
89.0,89.0,89.0,87.0,89.0,202300
89.0,89.0,90.0,87.0,89.0,106100
88.0,88.0,89.0,86.0,89.0,204300
89.0,89.0,93.0,87.0,88.0,381900
89.0,89.0,90.0,87.0,89.0,85600
89.0,89.0,90.0,88.0,89.0,24900
88.0,88.0,91.0,86.0,89.0,413100
86.0,86.0,88.0,85.0,88.0,818000
87.0,87.0,87.0,85.0,86.0,62700
91.0,91.0,93.0,87.0,87.0,700200
94.0,94.0,94.0,87.0,91.0,170900
88.0,88.0,92.0,87.0,92.0,466600
89.0,89.0,95.0,87.0,95.0,439600
89.0,89.0,90.0,88.0,89.0,116300
87.0,87.0,89.0,85.0,88.0,751100
87.0,87.0,92.0,85.0,88.0,449800
88.0,88.0,93.0,87.0,88.0,848900
89.0,89.0,89.0,87.0,88.0,25900
92.0,92.0,95.0,87.0,89.0,888200
93.0,93.0,96.0,90.0,92.0,343700
93.0,93.0,94.0,93.0,93.0,62000
93.0,93.0,94.0,91.0,93.0,47900
95.0,95.0,95.0,90.0,92.0,65000
93.0,93.0,95.0,91.0,93.0,144700
95.0,95.0,96.0,92.0,92.0,663100
94.0,94.0,95.0,91.0,95.0,143400
93.0,93.0,97.0,92.0,92.0,425200
94.0,94.0,94.0,92.0,92.0,4200
94.0,94.0,97.0,91.0,92.0,49200
95.0,95.0,95.0,92.0,92.0,244400
94.0,94.0,94.0,92.0,92.0,19200
93.0,93.0,96.0,90.0,92.0,394300
94.0,94.0,98.0,90.0,92.0,338800
93.0,93.0,95.0,91.0,92.0,41200
92.0,92.0,93.0,91.0,92.0,53300
92.0,92.0,93.0,90.0,92.0,75000
92.0,92.0,95.0,91.0,92.0,554300
92.0,92.0,94.0,91.0,91.0,779800
93.0,93.0,93.0,91.0,92.0,362700
93.0,93.0,93.0,91.0,92.0,268600
93.0,93.0,94.0,91.0,92.0,152300
92.0,92.0,94.0,91.0,92.0,116100
90.0,90.0,93.0,89.0,92.0,273500
91.0,91.0,94.0,89.0,91.0,405600
92.0,92.0,95.0,90.0,91.0,865900
91.0,91.0,92.0,90.0,92.0,696400
92.0,92.0,93.0,90.0,91.0,390900
89.0,89.0,91.0,88.0,90.0,249200
90.0,90.0,90.0,89.0,90.0,132500
91.0,91.0,94.0,89.0,90.0,225000
90.0,90.0,92.0,89.0,91.0,190900
91.0,91.0,93.0,89.0,90.0,106400
92.0,92.0,92.0,89.0,91.0,53000
92.0,92.0,92.0,91.0,92.0,18400
92.0,92.0,95.0,90.0,92.0,502400
90.0,90.0,92.0,90.0,92.0,71800
91.0,91.0,91.0,90.0,90.0,17100
91.0,91.0,91.0,90.0,90.0,37600
90.0,90.0,94.0,89.0,91.0,70600
91.0,91.0,93.0,90.0,90.0,25200
93.0,93.0,95.0,89.0,92.0,197200
92.0,92.0,93.0,90.0,93.0,40300
91.0,91.0,95.0,89.0,92.0,289900
91.0,91.0,95.0,91.0,91.0,264600
94.0,94.0,96.0,91.0,93.0,643800
94.0,94.0,94.0,91.0,94.0,9700
93.0,93.0,94.0,91.0,94.0,19300
93.0,93.0,96.0,91.0,94.0,94400
92.0,92.0,95.0,91.0,95.0,64400
93.0,93.0,96.0,92.0,92.0,11500
94.0,94.0,96.0,93.0,95.0,646800
93.0,93.0,96.0,93.0,95.0,217700
94.0,94.0,98.0,93.0,93.0,53900
96.0,96.0,97.0,93.0,95.0,99600
95.0,95.0,97.0,94.0,95.0,112800
96.0,96.0,98.0,94.0,97.0,156600
97.0,97.0,97.0,94.0,94.0,10100
96.0,96.0,97.0,95.0,97.0,38700
97.0,97.0,100.0,95.0,96.0,267900
97.0,97.0,98.0,94.0,97.0,97000
98.0,98.0,99.0,96.0,96.0,155400
101.0,101.0,103.0,98.0,99.0,427200
99.0,99.0,102.0,97.0,100.0,42300
99.0,99.0,101.0,99.0,100.0,22900
99.0,99.0,100.0,98.0,99.0,123200
99.0,99.0,104.0,93.0,100.0,264000
100.0,100.0,102.0,100.0,100.0,35300
99.0,99.0,102.0,98.0,100.0,37200
100.0,100.0,105.0,98.0,102.0,7300
99.0,99.0,101.0,98.0,101.0,26800
99.0,99.0,101.0,99.0,101.0,133600
100.0,100.0,101.0,99.0,100.0,37000
97.0,97.0,101.0,92.0,99.0,358700
96.0,96.0,97.0,93.0,95.0,83700
95.0,95.0,96.0,93.0,96.0,77900
98.0,98.0,99.0,94.0,95.0,190000
98.0,98.0,102.0,98.0,99.0,316400
103.0,103.0,107.0,96.0,98.0,1459900
108.0,108.0,111.0,103.0,104.0,2514300
108.0,108.0,108.0,104.0,108.0,465400
110.0,110.0,110.0,106.0,108.0,1889100
110.0,110.0,111.0,108.0,110.0,2136400
109.0,109.0,112.0,109.0,111.0,3445400
111.0,111.0,112.0,107.0,107.0,3479400
