Adj Close,Close,High,Low,Open,Volume
PPRE.JK,PPRE.JK,PPRE.JK,PPRE.JK,PPRE.JK,PPRE.JK
83.0,83.0,85.0,83.0,84.0,3152900
86.0,86.0,90.0,83.0,83.0,3571300
88.0,88.0,92.0,85.0,87.0,10173900
85.0,85.0,90.0,85.0,89.0,4241100
85.0,85.0,86.0,85.0,86.0,3210800
84.0,84.0,86.0,83.0,85.0,3270300
85.0,85.0,85.0,83.0,84.0,3132300
83.0,83.0,85.0,83.0,85.0,3378400
84.0,84.0,85.0,82.0,83.0,3245000
82.0,82.0,85.0,82.0,84.0,4071800
84.0,84.0,86.0,82.0,83.0,3578100
83.0,83.0,84.0,83.0,84.0,3120200
82.0,82.0,85.0,81.0,84.0,3755400
83.0,83.0,83.0,81.0,82.0,3754800
81.0,81.0,84.0,80.0,83.0,5078400
80.0,80.0,81.0,79.0,81.0,3227000
79.0,79.0,81.0,79.0,81.0,3745200
79.0,79.0,80.0,78.0,80.0,3489400
79.0,79.0,79.0,77.0,79.0,3662000
75.0,75.0,78.0,70.0,70.0,4401400
77.0,77.0,81.0,75.0,75.0,4531600
77.0,77.0,78.0,76.0,77.0,3634700
78.0,78.0,82.0,75.0,77.0,5271800
78.0,78.0,80.0,77.0,78.0,4026300
77.0,77.0,78.0,76.0,78.0,4291100
77.0,77.0,77.0,75.0,77.0,3395200
78.0,78.0,79.0,76.0,78.0,3353800
77.0,77.0,78.0,75.0,78.0,3848500
76.0,76.0,77.0,74.0,77.0,3550900
77.0,77.0,78.0,75.0,76.0,4275100
79.0,79.0,80.0,76.0,77.0,4709200
79.0,79.0,80.0,78.0,79.0,3414100
81.0,81.0,83.0,79.0,80.0,5760700
80.0,80.0,82.0,80.0,82.0,3532300
80.0,80.0,80.0,79.0,79.0,3002300
80.0,80.0,82.0,79.0,80.0,2839800
82.0,82.0,84.0,79.0,80.0,11105500
77.0,77.0,83.0,75.0,83.0,5174300
79.0,79.0,84.0,76.0,77.0,16741500
79.0,79.0,80.0,79.0,79.0,3787100
78.0,78.0,80.0,78.0,80.0,3420500
80.0,80.0,81.0,78.0,78.0,10818400
80.0,80.0,80.0,78.0,80.0,3940600
79.0,79.0,81.0,79.0,79.0,3711000
80.0,80.0,82.0,79.0,79.0,3474100
79.0,79.0,81.0,79.0,81.0,3355200
80.0,80.0,81.0,79.0,79.0,3487700
78.0,78.0,80.0,77.0,80.0,3438800
77.0,77.0,78.0,76.0,78.0,3697000
78.0,78.0,79.0,77.0,77.0,3280100
76.0,76.0,79.0,76.0,79.0,3474100
76.0,76.0,78.0,76.0,76.0,3296100
77.0,77.0,78.0,76.0,77.0,3340700
78.0,78.0,79.0,76.0,78.0,3378500
77.0,77.0,78.0,77.0,78.0,3421500
76.0,76.0,79.0,75.0,77.0,5325900
76.0,76.0,82.0,75.0,76.0,11919800
77.0,77.0,78.0,76.0,77.0,3576700
78.0,78.0,79.0,76.0,77.0,3897900
79.0,79.0,79.0,78.0,78.0,3428300
80.0,80.0,80.0,77.0,79.0,5697200
100.0,100.0,106.0,80.0,80.0,219166900
92.0,92.0,102.0,88.0,101.0,40869300
89.0,89.0,94.0,88.0,92.0,12635200
89.0,89.0,91.0,86.0,90.0,7829000
83.0,83.0,90.0,83.0,90.0,8893900
84.0,84.0,87.0,82.0,84.0,11084100
85.0,85.0,86.0,83.0,85.0,2306200
83.0,83.0,89.0,82.0,85.0,8227600
84.0,84.0,84.0,82.0,84.0,5417900
82.0,82.0,85.0,81.0,84.0,4297300
84.0,84.0,87.0,83.0,83.0,6153300
82.0,82.0,86.0,82.0,84.0,3738800
81.0,81.0,85.0,80.0,83.0,5638600
86.0,86.0,91.0,82.0,83.0,30925900
82.0,82.0,87.0,82.0,87.0,9081200
83.0,83.0,85.0,82.0,83.0,3486400
85.0,85.0,89.0,83.0,84.0,10020700
84.0,84.0,86.0,84.0,85.0,4308200
85.0,85.0,85.0,83.0,85.0,4187400
84.0,84.0,86.0,83.0,85.0,3664700
89.0,89.0,93.0,84.0,85.0,26574700
90.0,90.0,93.0,87.0,90.0,11186900
89.0,89.0,93.0,88.0,91.0,7458300
88.0,88.0,91.0,88.0,90.0,3608200
87.0,87.0,90.0,86.0,89.0,3537100
86.0,86.0,89.0,86.0,89.0,6084700
88.0,88.0,90.0,86.0,90.0,16081700
86.0,86.0,89.0,84.0,88.0,9919900
83.0,83.0,87.0,82.0,85.0,4132000
79.0,79.0,83.0,77.0,83.0,5295700
80.0,80.0,81.0,78.0,80.0,3456600
78.0,78.0,80.0,77.0,80.0,4208600
79.0,79.0,80.0,77.0,78.0,5753900
77.0,77.0,80.0,77.0,79.0,5999400
73.0,73.0,77.0,72.0,77.0,5614300
76.0,76.0,76.0,72.0,73.0,3394100
76.0,76.0,77.0,74.0,77.0,3604700
72.0,72.0,76.0,71.0,75.0,5210500
74.0,74.0,77.0,72.0,72.0,7561600
74.0,74.0,78.0,74.0,74.0,5043200
74.0,74.0,77.0,74.0,75.0,3832900
74.0,74.0,75.0,73.0,75.0,3996200
73.0,73.0,74.0,72.0,74.0,3813800
72.0,72.0,73.0,65.0,65.0,5118800
73.0,73.0,74.0,72.0,72.0,4378000
69.0,69.0,73.0,67.0,72.0,4146300
65.0,65.0,68.0,63.0,68.0,6231400
65.0,65.0,67.0,63.0,65.0,1965300
67.0,67.0,68.0,65.0,66.0,1466800
65.0,65.0,68.0,64.0,65.0,2643800
64.0,64.0,66.0,63.0,66.0,2600100
65.0,65.0,66.0,62.0,62.0,887200
67.0,67.0,68.0,65.0,66.0,1778300
66.0,66.0,69.0,66.0,67.0,420100
68.0,68.0,68.0,66.0,67.0,761600
66.0,66.0,69.0,66.0,68.0,517900
64.0,64.0,66.0,63.0,66.0,2607600
62.0,62.0,64.0,62.0,63.0,1268100
62.0,62.0,64.0,61.0,63.0,1214500
61.0,61.0,65.0,54.0,54.0,2435700
56.0,56.0,62.0,56.0,62.0,7580900
57.0,57.0,58.0,55.0,55.0,3201400
55.0,55.0,58.0,55.0,57.0,3307000
50.0,50.0,56.0,50.0,52.0,8452600
50.0,50.0,51.0,50.0,50.0,9717700
50.0,50.0,51.0,50.0,50.0,1295100
50.0,50.0,50.0,50.0,50.0,616600
50.0,50.0,50.0,50.0,50.0,224000
50.0,50.0,50.0,50.0,50.0,776000
50.0,50.0,50.0,50.0,50.0,724300
50.0,50.0,50.0,50.0,50.0,458700
50.0,50.0,50.0,50.0,50.0,60400
50.0,50.0,50.0,50.0,50.0,56700
50.0,50.0,50.0,50.0,50.0,975800
50.0,50.0,50.0,50.0,50.0,176200
50.0,50.0,50.0,50.0,50.0,40800
50.0,50.0,50.0,50.0,50.0,297200
50.0,50.0,50.0,50.0,50.0,225600
50.0,50.0,51.0,50.0,50.0,1266200
50.0,50.0,51.0,50.0,50.0,242100
51.0,51.0,51.0,50.0,50.0,772400
51.0,51.0,53.0,50.0,51.0,2196400
55.0,55.0,57.0,50.0,51.0,6987800
69.0,69.0,73.0,54.0,54.0,63493100
64.0,64.0,75.0,60.0,66.0,46985600
64.0,64.0,68.0,62.0,64.0,11073100
71.0,71.0,76.0,62.0,64.0,62639000
68.0,68.0,73.0,66.0,71.0,26691900
67.0,67.0,70.0,65.0,68.0,11146300
65.0,65.0,68.0,64.0,67.0,4655200
67.0,67.0,69.0,57.0,65.0,13663900
66.0,66.0,68.0,65.0,67.0,2723700
67.0,67.0,68.0,66.0,66.0,1925900
70.0,70.0,72.0,67.0,68.0,10199200
76.0,76.0,79.0,70.0,70.0,32507800
72.0,72.0,77.0,71.0,76.0,5287400
71.0,71.0,73.0,70.0,72.0,3587500
70.0,70.0,72.0,69.0,71.0,3664300
68.0,68.0,70.0,67.0,70.0,2308100
68.0,68.0,71.0,67.0,68.0,2222300
75.0,75.0,84.0,71.0,71.0,65135600
72.0,72.0,76.0,71.0,75.0,9979800
70.0,70.0,73.0,69.0,72.0,2639100
70.0,70.0,72.0,69.0,70.0,6071700
71.0,71.0,75.0,69.0,71.0,20042100
70.0,70.0,72.0,70.0,72.0,3404400
67.0,67.0,71.0,67.0,68.0,5137800
68.0,68.0,69.0,66.0,67.0,1823700
68.0,68.0,69.0,67.0,68.0,1543800
67.0,67.0,70.0,67.0,68.0,767600
70.0,70.0,72.0,67.0,68.0,9674400
70.0,70.0,72.0,69.0,71.0,3379200
82.0,82.0,88.0,71.0,71.0,95329300
80.0,80.0,83.0,76.0,82.0,38313800
81.0,81.0,89.0,77.0,82.0,55843300
80.0,80.0,83.0,79.0,82.0,4901300
78.0,78.0,83.0,77.0,79.0,11121500
77.0,77.0,80.0,76.0,78.0,3185500
78.0,78.0,80.0,77.0,77.0,3585200
78.0,78.0,78.0,77.0,78.0,784000
79.0,79.0,82.0,78.0,78.0,9900600
79.0,79.0,81.0,79.0,80.0,2876300
77.0,77.0,80.0,77.0,79.0,2385000
77.0,77.0,79.0,76.0,78.0,2928700
77.0,77.0,79.0,76.0,78.0,1860700
77.0,77.0,78.0,77.0,78.0,1787900
84.0,84.0,91.0,77.0,78.0,96076600
82.0,82.0,85.0,81.0,85.0,7356100
80.0,80.0,82.0,80.0,81.0,4892100
