Adj Close,Close,High,Low,Open,Volume
PSDN.JK,PSDN.JK,PSDN.JK,PSDN.JK,PSDN.JK,PSDN.JK
70.0,70.0,79.0,68.0,79.0,1051300
94.0,94.0,94.0,73.0,73.0,20625700
126.0,126.0,126.0,97.0,97.0,114379300
130.0,130.0,162.0,130.0,139.0,263474800
112.0,112.0,130.0,107.0,122.0,32814900
143.0,143.0,151.0,113.0,114.0,158097600
174.0,174.0,187.0,145.0,146.0,239823500
158.0,158.0,177.0,150.0,165.0,41398900
139.0,139.0,173.0,136.0,159.0,45624500
140.0,140.0,149.0,133.0,142.0,17219600
150.0,150.0,165.0,137.0,140.0,114183400
148.0,148.0,161.0,141.0,152.0,35674700
147.0,147.0,153.0,143.0,149.0,12664800
143.0,143.0,150.0,141.0,147.0,7009600
140.0,140.0,145.0,135.0,143.0,6346500
137.0,137.0,143.0,137.0,142.0,3134000
137.0,137.0,145.0,135.0,137.0,7578100
138.0,138.0,141.0,137.0,137.0,4436300
128.0,128.0,151.0,120.0,145.0,31412500
122.0,122.0,136.0,116.0,129.0,10892200
104.0,104.0,122.0,91.0,114.0,12508600
101.0,101.0,110.0,94.0,96.0,10124600
98.0,98.0,102.0,94.0,99.0,4451500
99.0,99.0,107.0,95.0,95.0,15174600
99.0,99.0,101.0,97.0,98.0,3652200
99.0,99.0,100.0,92.0,92.0,3935000
97.0,97.0,99.0,93.0,93.0,2601100
97.0,97.0,101.0,97.0,98.0,4110100
96.0,96.0,99.0,96.0,97.0,1169700
96.0,96.0,98.0,95.0,96.0,1310000
93.0,93.0,96.0,88.0,96.0,2968300
90.0,90.0,102.0,88.0,93.0,13527800
85.0,85.0,90.0,78.0,90.0,3067400
114.0,114.0,114.0,77.0,77.0,43111300
133.0,133.0,145.0,121.0,131.0,162189500
120.0,120.0,135.0,113.0,127.0,15461800
117.0,117.0,130.0,112.0,112.0,14048300
119.0,119.0,137.0,113.0,113.0,49294300
116.0,116.0,126.0,111.0,119.0,14944100
121.0,121.0,124.0,113.0,115.0,12287700
118.0,118.0,130.0,112.0,112.0,19444100
131.0,131.0,135.0,117.0,119.0,47688800
129.0,129.0,134.0,125.0,133.0,20692600
120.0,120.0,132.0,118.0,127.0,17684200
118.0,118.0,122.0,115.0,122.0,5563000
116.0,116.0,119.0,115.0,118.0,2969000
116.0,116.0,124.0,115.0,116.0,11645000
