Adj Close,Close,High,Low,Open,Volume
PSKT.JK,PSKT.JK,PSKT.JK,PSKT.JK,PSKT.JK,PSKT.JK
50.0,50.0,50.0,50.0,50.0,2300
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,12300
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,19900
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,24300
50.0,50.0,50.0,50.0,50.0,45300
50.0,50.0,50.0,50.0,50.0,1539300
50.0,50.0,50.0,50.0,50.0,50000
50.0,50.0,50.0,50.0,50.0,1021200
50.0,50.0,50.0,50.0,50.0,49000
50.0,50.0,50.0,50.0,50.0,700
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,59000
50.0,50.0,50.0,50.0,50.0,36400
50.0,50.0,50.0,50.0,50.0,1047000
50.0,50.0,50.0,50.0,50.0,15000
50.0,50.0,50.0,50.0,50.0,5100
50.0,50.0,50.0,50.0,50.0,900
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,20400
50.0,50.0,50.0,50.0,50.0,5000
50.0,50.0,50.0,50.0,50.0,11000
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,16600
50.0,50.0,50.0,50.0,50.0,25400
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,2200
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,11000
50.0,50.0,50.0,50.0,50.0,5100
50.0,50.0,50.0,50.0,50.0,22000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1150000
50.0,50.0,50.0,50.0,50.0,1170500
50.0,50.0,50.0,50.0,50.0,105000
50.0,50.0,50.0,50.0,50.0,2900
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1025500
50.0,50.0,50.0,50.0,50.0,1170100
50.0,50.0,50.0,50.0,50.0,291000
50.0,50.0,50.0,50.0,50.0,948400
50.0,50.0,50.0,50.0,50.0,1142800
50.0,50.0,50.0,50.0,50.0,1145000
50.0,50.0,50.0,50.0,50.0,2013200
50.0,50.0,50.0,50.0,50.0,633000
50.0,50.0,50.0,50.0,50.0,400100
50.0,50.0,50.0,50.0,50.0,3265200
50.0,50.0,50.0,50.0,50.0,2554500
50.0,50.0,50.0,50.0,50.0,2473600
50.0,50.0,50.0,50.0,50.0,1891500
50.0,50.0,50.0,50.0,50.0,3214800
50.0,50.0,50.0,50.0,50.0,2743400
50.0,50.0,50.0,50.0,50.0,3992700
50.0,50.0,50.0,50.0,50.0,3713100
50.0,50.0,50.0,50.0,50.0,2519800
