Adj Close,Close,High,Low,Open,Volume
RAAM.JK,RAAM.JK,RAAM.JK,RAAM.JK,RAAM.JK,RAAM.JK
595.0,595.0,610.0,580.0,605.0,13788300
570.0,570.0,600.0,570.0,595.0,5851500
605.0,605.0,610.0,570.0,570.0,13504900
585.0,585.0,630.0,570.0,605.0,10248400
675.0,675.0,715.0,590.0,605.0,69558100
665.0,665.0,725.0,655.0,680.0,46746100
685.0,685.0,710.0,665.0,670.0,15421100
675.0,675.0,695.0,670.0,690.0,10854800
710.0,710.0,735.0,670.0,675.0,34058100
730.0,730.0,770.0,710.0,715.0,31362300
695.0,695.0,740.0,690.0,735.0,20981000
660.0,660.0,710.0,655.0,695.0,15870800
650.0,650.0,680.0,620.0,660.0,14285000
645.0,645.0,655.0,625.0,655.0,4544900
630.0,630.0,655.0,630.0,635.0,5015100
610.0,610.0,630.0,605.0,630.0,6250900
630.0,630.0,655.0,610.0,610.0,10121300
610.0,610.0,630.0,605.0,630.0,5647000
610.0,610.0,625.0,565.0,610.0,11412000
595.0,595.0,620.0,590.0,615.0,5771000
605.0,605.0,615.0,595.0,595.0,2519000
645.0,645.0,660.0,605.0,605.0,12764600
635.0,635.0,650.0,625.0,650.0,3686800
610.0,610.0,645.0,610.0,635.0,5370900
675.0,675.0,720.0,595.0,615.0,38639300
605.0,605.0,690.0,600.0,685.0,29286100
600.0,600.0,620.0,595.0,610.0,10628800
580.0,580.0,605.0,580.0,605.0,5686100
590.0,590.0,600.0,580.0,580.0,2767700
585.0,585.0,610.0,585.0,590.0,3075400
565.0,565.0,595.0,555.0,585.0,5793900
575.0,575.0,595.0,560.0,565.0,4088900
585.0,585.0,600.0,575.0,580.0,3314100
580.0,580.0,590.0,575.0,590.0,3674300
620.0,620.0,630.0,580.0,580.0,15129900
605.0,605.0,625.0,595.0,620.0,3656300
600.0,600.0,610.0,595.0,605.0,1344800
570.0,570.0,610.0,570.0,605.0,5520600
565.0,565.0,585.0,555.0,570.0,5361700
