Adj Close,Close,High,Low,Open,Volume
RANC.JK,RANC.JK,RANC.JK,RANC.JK,RANC.JK,RANC.JK
645.0,645.0,645.0,605.0,630.0,92500
630.0,630.0,645.0,610.0,610.0,10800
650.0,650.0,665.0,645.0,645.0,90500
670.0,670.0,670.0,665.0,665.0,51600
670.0,670.0,675.0,655.0,670.0,7700
660.0,660.0,670.0,625.0,635.0,16900
660.0,660.0,665.0,635.0,660.0,12000
655.0,655.0,660.0,640.0,660.0,86000
655.0,655.0,655.0,645.0,655.0,21800
685.0,685.0,685.0,660.0,660.0,69300
690.0,690.0,690.0,685.0,685.0,35100
690.0,690.0,690.0,680.0,690.0,78200
700.0,700.0,700.0,680.0,690.0,31800
675.0,675.0,700.0,665.0,680.0,20200
680.0,680.0,680.0,665.0,675.0,67300
680.0,680.0,680.0,665.0,670.0,900
670.0,670.0,670.0,665.0,665.0,400
690.0,690.0,690.0,650.0,650.0,800
690.0,690.0,690.0,685.0,685.0,1400
685.0,685.0,690.0,640.0,655.0,51700
680.0,680.0,680.0,680.0,680.0,500
685.0,685.0,700.0,680.0,680.0,55900
685.0,685.0,685.0,660.0,685.0,11500
675.0,675.0,675.0,675.0,675.0,100
690.0,690.0,690.0,680.0,680.0,400
690.0,690.0,695.0,690.0,690.0,43500
690.0,690.0,690.0,660.0,660.0,5200
645.0,645.0,680.0,645.0,680.0,28800
640.0,640.0,640.0,640.0,640.0,8300
680.0,680.0,685.0,635.0,635.0,4000
665.0,665.0,670.0,645.0,670.0,2800
670.0,670.0,670.0,660.0,670.0,12600
650.0,650.0,660.0,650.0,660.0,1700
660.0,660.0,660.0,645.0,650.0,3400
660.0,660.0,660.0,660.0,660.0,3500
670.0,670.0,670.0,615.0,615.0,2600
640.0,640.0,665.0,630.0,630.0,1800
665.0,665.0,665.0,665.0,665.0,1700
665.0,665.0,665.0,640.0,640.0,2100
665.0,665.0,670.0,640.0,655.0,8000
660.0,660.0,670.0,630.0,665.0,13600
660.0,660.0,660.0,625.0,625.0,600
650.0,650.0,660.0,640.0,660.0,4600
620.0,620.0,695.0,615.0,650.0,15500
625.0,625.0,650.0,625.0,650.0,3900
615.0,615.0,635.0,605.0,605.0,2200
645.0,645.0,695.0,620.0,655.0,10700
635.0,635.0,645.0,635.0,645.0,3900
640.0,640.0,640.0,620.0,630.0,700
655.0,655.0,655.0,605.0,615.0,55400
