Adj Close,Close,High,Low,Open,Volume
RELF.JK,RELF.JK,RELF.JK,RELF.JK,RELF.JK,RELF.JK
37.0,37.0,38.0,35.0,37.0,28881400
37.0,37.0,38.0,36.0,37.0,67717100
40.0,40.0,40.0,37.0,38.0,102885300
38.0,38.0,41.0,37.0,41.0,56664300
37.0,37.0,38.0,35.0,38.0,82110600
35.0,35.0,37.0,34.0,37.0,104657300
35.0,35.0,35.0,33.0,35.0,73138600
38.0,38.0,38.0,34.0,35.0,168426500
41.0,41.0,41.0,37.0,39.0,127712700
41.0,41.0,42.0,38.0,41.0,114359500
39.0,39.0,41.0,37.0,40.0,91293600
37.0,37.0,38.0,36.0,38.0,75867500
35.0,35.0,37.0,34.0,37.0,143480500
34.0,34.0,35.0,33.0,34.0,45039300
34.0,34.0,35.0,33.0,34.0,78941000
34.0,34.0,34.0,31.0,34.0,136219400
32.0,32.0,34.0,31.0,34.0,141251600
33.0,33.0,33.0,30.0,32.0,75210400
34.0,34.0,34.0,31.0,33.0,104617200
31.0,31.0,34.0,31.0,34.0,101843400
29.0,29.0,31.0,28.0,30.0,70955000
31.0,31.0,31.0,28.0,28.0,49706600
33.0,33.0,34.0,30.0,31.0,66303800
33.0,33.0,34.0,31.0,33.0,83262600
30.0,30.0,33.0,30.0,32.0,114490600
30.0,30.0,32.0,27.0,30.0,73860000
28.0,28.0,30.0,27.0,30.0,151918000
26.0,26.0,28.0,26.0,28.0,51138900
25.0,25.0,26.0,24.0,26.0,68601200
23.0,23.0,25.0,23.0,25.0,14170100
23.0,23.0,23.0,21.0,22.0,7600900
22.0,22.0,23.0,22.0,23.0,5812200
21.0,21.0,22.0,21.0,21.0,7255200
23.0,23.0,23.0,21.0,21.0,14031300
25.0,25.0,25.0,23.0,23.0,9993200
27.0,27.0,27.0,25.0,25.0,12674400
26.0,26.0,29.0,25.0,28.0,13891900
24.0,24.0,25.0,24.0,25.0,5639600
23.0,23.0,24.0,22.0,22.0,7986600
23.0,23.0,23.0,21.0,23.0,10025800
22.0,22.0,23.0,21.0,23.0,80797500
22.0,22.0,22.0,22.0,22.0,0
24.0,24.0,24.0,23.0,23.0,5794500
23.0,23.0,24.0,22.0,23.0,5857900
23.0,23.0,24.0,22.0,23.0,3346100
22.0,22.0,24.0,22.0,23.0,5009100
23.0,23.0,23.0,22.0,23.0,2228200
23.0,23.0,23.0,22.0,23.0,1774600
22.0,22.0,23.0,21.0,23.0,4079700
21.0,21.0,23.0,20.0,21.0,18507300
21.0,21.0,22.0,20.0,20.0,3626300
21.0,21.0,22.0,20.0,20.0,2824800
21.0,21.0,21.0,20.0,20.0,3230100
21.0,21.0,21.0,20.0,20.0,1452100
21.0,21.0,21.0,19.0,21.0,9244300
20.0,20.0,21.0,19.0,20.0,1370600
21.0,21.0,21.0,19.0,20.0,4187500
20.0,20.0,21.0,20.0,20.0,1403700
20.0,20.0,21.0,19.0,19.0,2839100
20.0,20.0,21.0,19.0,19.0,3172400
19.0,19.0,20.0,18.0,20.0,15254600
19.0,19.0,19.0,18.0,19.0,4854900
18.0,18.0,19.0,18.0,19.0,3977100
19.0,19.0,19.0,18.0,19.0,3599800
18.0,18.0,19.0,18.0,18.0,2125700
18.0,18.0,19.0,18.0,19.0,2212400
18.0,18.0,19.0,18.0,19.0,1845100
19.0,19.0,19.0,18.0,19.0,3233800
19.0,19.0,19.0,18.0,19.0,1189000
19.0,19.0,19.0,18.0,19.0,3065700
19.0,19.0,19.0,18.0,19.0,3958600
18.0,18.0,19.0,18.0,19.0,3115800
17.0,17.0,19.0,17.0,19.0,3119000
17.0,17.0,18.0,17.0,17.0,2139200
18.0,18.0,18.0,17.0,18.0,1733800
17.0,17.0,18.0,17.0,18.0,1210800
18.0,18.0,18.0,17.0,18.0,3541600
18.0,18.0,18.0,17.0,17.0,1009400
18.0,18.0,18.0,17.0,17.0,2366000
18.0,18.0,18.0,17.0,18.0,5767900
19.0,19.0,19.0,18.0,19.0,8476100
19.0,19.0,20.0,18.0,19.0,4871700
18.0,18.0,19.0,18.0,19.0,2793800
18.0,18.0,19.0,17.0,19.0,2229100
19.0,19.0,19.0,17.0,17.0,6961400
18.0,18.0,19.0,18.0,18.0,2437900
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,19.0,17.0,19.0,3781000
18.0,18.0,18.0,17.0,18.0,1318000
18.0,18.0,18.0,17.0,18.0,865200
18.0,18.0,18.0,17.0,18.0,1585800
18.0,18.0,18.0,17.0,18.0,1717900
18.0,18.0,18.0,17.0,18.0,1120100
18.0,18.0,18.0,17.0,18.0,608600
18.0,18.0,18.0,17.0,18.0,2589400
18.0,18.0,18.0,17.0,18.0,3759400
18.0,18.0,18.0,17.0,17.0,2557800
18.0,18.0,18.0,17.0,18.0,2046900
17.0,17.0,18.0,17.0,18.0,1896800
17.0,17.0,17.0,16.0,16.0,1274400
17.0,17.0,17.0,16.0,16.0,1966800
16.0,16.0,17.0,16.0,17.0,1688800
17.0,17.0,17.0,16.0,17.0,1586800
16.0,16.0,17.0,16.0,17.0,2188900
17.0,17.0,17.0,16.0,16.0,7430400
16.0,16.0,17.0,16.0,16.0,7703000
16.0,16.0,16.0,15.0,15.0,2957000
16.0,16.0,16.0,15.0,16.0,1301800
16.0,16.0,16.0,15.0,16.0,3749700
16.0,16.0,16.0,15.0,16.0,1097300
16.0,16.0,16.0,15.0,16.0,683000
16.0,16.0,17.0,15.0,16.0,4832200
16.0,16.0,17.0,16.0,16.0,481400
17.0,17.0,17.0,15.0,15.0,3829600
17.0,17.0,17.0,16.0,16.0,1462200
16.0,16.0,17.0,16.0,16.0,1838900
16.0,16.0,17.0,15.0,17.0,1740800
16.0,16.0,17.0,15.0,17.0,1397200
16.0,16.0,16.0,15.0,16.0,749200
16.0,16.0,16.0,15.0,16.0,1018900
16.0,16.0,16.0,15.0,16.0,671400
16.0,16.0,16.0,15.0,16.0,1981500
16.0,16.0,16.0,15.0,16.0,216700
15.0,15.0,17.0,15.0,16.0,6583200
15.0,15.0,15.0,14.0,14.0,2282800
14.0,14.0,15.0,14.0,14.0,752200
15.0,15.0,15.0,14.0,14.0,6452900
15.0,15.0,15.0,14.0,15.0,454700
15.0,15.0,15.0,14.0,15.0,745700
15.0,15.0,15.0,14.0,15.0,2474300
14.0,14.0,15.0,14.0,15.0,1241100
14.0,14.0,15.0,13.0,14.0,2631600
14.0,14.0,15.0,13.0,13.0,991000
15.0,15.0,15.0,14.0,14.0,2579300
15.0,15.0,15.0,14.0,14.0,433800
15.0,15.0,15.0,14.0,14.0,394300
15.0,15.0,15.0,14.0,14.0,462000
15.0,15.0,15.0,14.0,15.0,1357700
14.0,14.0,15.0,14.0,14.0,2035900
14.0,14.0,15.0,13.0,15.0,2418000
14.0,14.0,14.0,13.0,13.0,2976300
14.0,14.0,14.0,13.0,14.0,3315600
14.0,14.0,14.0,13.0,13.0,804800
15.0,15.0,15.0,13.0,13.0,3765300
15.0,15.0,15.0,14.0,14.0,1097500
14.0,14.0,15.0,14.0,14.0,2031400
15.0,15.0,15.0,14.0,15.0,958600
15.0,15.0,15.0,14.0,15.0,736100
14.0,14.0,15.0,14.0,15.0,1348100
15.0,15.0,15.0,14.0,14.0,6944300
15.0,15.0,15.0,14.0,15.0,952300
15.0,15.0,15.0,14.0,15.0,1322100
14.0,14.0,15.0,14.0,15.0,3502000
14.0,14.0,15.0,13.0,14.0,4263900
15.0,15.0,15.0,13.0,14.0,1288400
15.0,15.0,15.0,14.0,15.0,647000
15.0,15.0,15.0,14.0,14.0,3847400
15.0,15.0,15.0,14.0,15.0,1362400
15.0,15.0,15.0,14.0,14.0,1178800
14.0,14.0,15.0,14.0,15.0,7467300
14.0,14.0,15.0,13.0,14.0,3183100
14.0,14.0,15.0,13.0,15.0,4861600
15.0,15.0,15.0,14.0,14.0,494300
15.0,15.0,15.0,14.0,14.0,3571800
14.0,14.0,15.0,14.0,15.0,1344600
14.0,14.0,14.0,13.0,13.0,178700
14.0,14.0,14.0,13.0,13.0,7798100
14.0,14.0,14.0,13.0,14.0,1385400
14.0,14.0,14.0,13.0,14.0,1420300
14.0,14.0,14.0,13.0,14.0,282400
13.0,13.0,14.0,13.0,14.0,222600
14.0,14.0,14.0,13.0,14.0,3555900
14.0,14.0,14.0,13.0,14.0,1324800
14.0,14.0,14.0,13.0,14.0,3140600
13.0,13.0,14.0,13.0,14.0,700300
14.0,14.0,14.0,13.0,14.0,1401100
14.0,14.0,14.0,13.0,14.0,1245900
14.0,14.0,14.0,13.0,14.0,546600
14.0,14.0,14.0,13.0,14.0,2107700
14.0,14.0,14.0,13.0,14.0,2817600
15.0,15.0,15.0,13.0,14.0,7027200
15.0,15.0,15.0,14.0,14.0,3631500
15.0,15.0,15.0,14.0,15.0,1477200
15.0,15.0,15.0,14.0,15.0,2394200
16.0,16.0,16.0,14.0,14.0,10315300
17.0,17.0,17.0,16.0,16.0,6075200
18.0,18.0,18.0,16.0,17.0,6162800
17.0,17.0,19.0,17.0,17.0,11566900
17.0,17.0,17.0,16.0,17.0,6125600
17.0,17.0,17.0,16.0,17.0,5295700
17.0,17.0,17.0,16.0,17.0,832200
17.0,17.0,17.0,16.0,16.0,804800
17.0,17.0,17.0,16.0,16.0,1404800
16.0,16.0,17.0,16.0,17.0,1222600
17.0,17.0,17.0,16.0,17.0,2055600
16.0,16.0,17.0,16.0,17.0,1914300
17.0,17.0,17.0,16.0,17.0,1165200
17.0,17.0,17.0,16.0,17.0,3091300
17.0,17.0,17.0,16.0,17.0,2521700
16.0,16.0,17.0,16.0,17.0,3292900
17.0,17.0,17.0,15.0,16.0,2856600
16.0,16.0,17.0,16.0,17.0,2249100
15.0,15.0,16.0,15.0,15.0,568700
16.0,16.0,16.0,15.0,15.0,1908300
16.0,16.0,16.0,15.0,15.0,130400
16.0,16.0,16.0,15.0,15.0,545600
16.0,16.0,16.0,15.0,15.0,825200
16.0,16.0,16.0,15.0,16.0,717800
16.0,16.0,16.0,15.0,16.0,1483600
16.0,16.0,16.0,15.0,16.0,555100
16.0,16.0,16.0,15.0,16.0,719800
16.0,16.0,16.0,15.0,15.0,473300
15.0,15.0,16.0,15.0,16.0,1490900
16.0,16.0,16.0,15.0,16.0,1960300
16.0,16.0,16.0,15.0,16.0,706100
16.0,16.0,16.0,15.0,16.0,1460800
16.0,16.0,16.0,15.0,16.0,595700
16.0,16.0,16.0,15.0,15.0,720700
16.0,16.0,16.0,15.0,15.0,225100
16.0,16.0,16.0,15.0,15.0,315100
16.0,16.0,16.0,15.0,15.0,680900
16.0,16.0,16.0,15.0,16.0,4112600
16.0,16.0,16.0,15.0,16.0,3027600
16.0,16.0,16.0,15.0,16.0,307100
17.0,17.0,17.0,15.0,16.0,8486200
18.0,18.0,18.0,16.0,17.0,12475800
19.0,19.0,19.0,17.0,18.0,15246400
18.0,18.0,19.0,18.0,19.0,7757000
17.0,17.0,18.0,17.0,17.0,8030800
18.0,18.0,18.0,16.0,17.0,4279400
17.0,17.0,18.0,17.0,17.0,3261000
16.0,16.0,17.0,16.0,17.0,5981400
17.0,17.0,17.0,16.0,17.0,3794400
17.0,17.0,17.0,16.0,16.0,618900
17.0,17.0,17.0,16.0,16.0,1642400
17.0,17.0,17.0,16.0,17.0,3041700
17.0,17.0,17.0,16.0,17.0,1527300
