Adj Close,Close,High,Low,Open,Volume
RUNS.JK,RUNS.JK,RUNS.JK,RUNS.JK,RUNS.JK,RUNS.JK
53.0,53.0,53.0,52.0,53.0,7200
57.0,57.0,58.0,49.0,53.0,974300
53.0,53.0,57.0,52.0,57.0,1221800
53.0,53.0,53.0,51.0,51.0,36100
53.0,53.0,53.0,51.0,52.0,56900
53.0,53.0,53.0,51.0,53.0,18600
54.0,54.0,55.0,51.0,55.0,93300
53.0,53.0,53.0,52.0,53.0,17500
53.0,53.0,53.0,51.0,53.0,80400
54.0,54.0,55.0,52.0,55.0,85600
55.0,55.0,55.0,52.0,54.0,199800
53.0,53.0,55.0,52.0,55.0,2600
53.0,53.0,55.0,51.0,53.0,169600
52.0,52.0,55.0,52.0,52.0,54200
54.0,54.0,55.0,50.0,51.0,16800
54.0,54.0,54.0,51.0,54.0,97400
54.0,54.0,54.0,51.0,51.0,74400
54.0,54.0,54.0,53.0,53.0,55700
54.0,54.0,54.0,52.0,52.0,88800
54.0,54.0,54.0,51.0,51.0,68500
53.0,53.0,53.0,52.0,53.0,120200
51.0,51.0,52.0,51.0,52.0,48500
52.0,52.0,53.0,50.0,52.0,86000
51.0,51.0,53.0,50.0,52.0,26200
52.0,52.0,53.0,50.0,50.0,88800
52.0,52.0,52.0,50.0,50.0,58700
52.0,52.0,55.0,50.0,55.0,73100
51.0,51.0,53.0,50.0,52.0,159500
51.0,51.0,52.0,50.0,51.0,243500
47.0,47.0,51.0,47.0,51.0,234900
48.0,48.0,50.0,46.0,48.0,271000
48.0,48.0,48.0,46.0,48.0,195600
48.0,48.0,49.0,46.0,48.0,56300
49.0,49.0,50.0,46.0,47.0,103800
48.0,48.0,49.0,47.0,49.0,22500
47.0,47.0,47.0,46.0,47.0,201700
48.0,48.0,48.0,46.0,48.0,9100
47.0,47.0,47.0,46.0,47.0,43300
48.0,48.0,49.0,46.0,46.0,57300
50.0,50.0,50.0,48.0,48.0,113300
49.0,49.0,49.0,48.0,49.0,12500
49.0,49.0,49.0,49.0,49.0,0
49.0,49.0,50.0,48.0,50.0,50200
49.0,49.0,50.0,47.0,49.0,189600
52.0,52.0,53.0,48.0,49.0,413000
50.0,50.0,53.0,48.0,52.0,31700
48.0,48.0,50.0,47.0,50.0,84200
49.0,49.0,49.0,48.0,49.0,11700
48.0,48.0,49.0,47.0,49.0,18900
50.0,50.0,51.0,47.0,50.0,99000
52.0,52.0,54.0,46.0,50.0,170700
55.0,55.0,55.0,49.0,52.0,81600
54.0,54.0,56.0,50.0,54.0,257400
54.0,54.0,55.0,51.0,53.0,60200
55.0,55.0,55.0,51.0,55.0,204900
56.0,56.0,58.0,54.0,55.0,67500
57.0,57.0,60.0,55.0,56.0,195200
57.0,57.0,62.0,54.0,57.0,116800
56.0,56.0,57.0,55.0,57.0,297400
54.0,54.0,56.0,54.0,55.0,102900
55.0,55.0,55.0,54.0,54.0,90600
55.0,55.0,55.0,53.0,55.0,77000
54.0,54.0,55.0,50.0,55.0,23800
54.0,54.0,54.0,52.0,54.0,4600
55.0,55.0,57.0,53.0,54.0,8900
54.0,54.0,57.0,52.0,55.0,104600
55.0,55.0,57.0,52.0,54.0,62600
57.0,57.0,58.0,54.0,55.0,26700
55.0,55.0,57.0,54.0,57.0,61600
54.0,54.0,59.0,53.0,56.0,86700
56.0,56.0,57.0,54.0,55.0,14100
60.0,60.0,60.0,56.0,57.0,301500
61.0,61.0,63.0,59.0,60.0,121600
61.0,61.0,64.0,56.0,61.0,153200
