Adj Close,Close,High,Low,Open,Volume
SCNP.JK,SCNP.JK,SCNP.JK,SCNP.JK,SCNP.JK,SCNP.JK
214.0,214.0,232.0,196.0,212.0,762300
218.0,218.0,246.0,206.0,212.0,1233000
224.0,224.0,224.0,208.0,218.0,800
222.0,222.0,222.0,222.0,222.0,1300
220.0,220.0,220.0,206.0,206.0,1700
226.0,226.0,230.0,206.0,222.0,15100
224.0,224.0,224.0,224.0,224.0,300
222.0,222.0,230.0,222.0,224.0,3100
232.0,232.0,232.0,210.0,230.0,2400
232.0,232.0,232.0,210.0,220.0,175100
226.0,226.0,228.0,208.0,212.0,27300
232.0,232.0,236.0,216.0,230.0,52200
228.0,228.0,228.0,220.0,224.0,6200
226.0,226.0,226.0,224.0,224.0,4400
218.0,218.0,236.0,218.0,224.0,14300
230.0,230.0,234.0,212.0,228.0,36100
230.0,230.0,230.0,230.0,230.0,0
220.0,220.0,222.0,182.0,214.0,9900
230.0,230.0,236.0,204.0,204.0,99600
220.0,220.0,228.0,220.0,222.0,9100
226.0,226.0,230.0,204.0,230.0,209500
234.0,234.0,242.0,214.0,238.0,228900
234.0,234.0,234.0,214.0,214.0,30400
206.0,206.0,232.0,197.0,232.0,117600
204.0,204.0,204.0,199.0,204.0,14700
200.0,200.0,200.0,190.0,195.0,4500
200.0,200.0,200.0,192.0,200.0,35200
200.0,200.0,200.0,195.0,196.0,8700
190.0,190.0,195.0,190.0,193.0,17800
186.0,186.0,195.0,184.0,190.0,8900
212.0,212.0,220.0,185.0,187.0,222900
218.0,218.0,218.0,212.0,212.0,5400
200.0,200.0,216.0,200.0,216.0,800
196.0,196.0,206.0,196.0,196.0,9000
206.0,206.0,206.0,206.0,206.0,100
206.0,206.0,206.0,202.0,202.0,10100
206.0,206.0,206.0,197.0,197.0,3400
220.0,220.0,222.0,206.0,206.0,9600
220.0,220.0,220.0,220.0,220.0,0
196.0,196.0,196.0,196.0,196.0,100
196.0,196.0,197.0,196.0,197.0,7700
194.0,194.0,196.0,192.0,196.0,13700
194.0,194.0,194.0,194.0,194.0,100
189.0,189.0,190.0,182.0,190.0,2100
188.0,188.0,189.0,185.0,189.0,1600
182.0,182.0,206.0,182.0,193.0,46000
182.0,182.0,183.0,182.0,182.0,3300
182.0,182.0,199.0,182.0,182.0,33000
182.0,182.0,182.0,182.0,182.0,100
180.0,180.0,185.0,179.0,180.0,2900
174.0,174.0,184.0,171.0,171.0,1500
170.0,170.0,174.0,170.0,174.0,14500
170.0,170.0,184.0,160.0,160.0,61900
165.0,165.0,175.0,161.0,161.0,7700
157.0,157.0,158.0,156.0,157.0,4400
146.0,146.0,155.0,146.0,155.0,19100
156.0,156.0,156.0,146.0,150.0,29800
145.0,145.0,155.0,141.0,150.0,35900
136.0,136.0,141.0,135.0,141.0,16600
123.0,123.0,136.0,123.0,136.0,10400
120.0,120.0,125.0,120.0,125.0,25400
119.0,119.0,120.0,111.0,115.0,6900
112.0,112.0,119.0,112.0,119.0,2500
119.0,119.0,119.0,102.0,111.0,135100
115.0,115.0,115.0,111.0,115.0,27100
115.0,115.0,115.0,108.0,111.0,17100
114.0,114.0,114.0,111.0,111.0,64300
115.0,115.0,119.0,114.0,119.0,103000
112.0,112.0,115.0,105.0,113.0,1200
120.0,120.0,120.0,115.0,115.0,153000
118.0,118.0,128.0,112.0,115.0,205000
128.0,128.0,128.0,128.0,128.0,13400
121.0,121.0,125.0,116.0,125.0,18300
111.0,111.0,118.0,111.0,118.0,9000
117.0,117.0,118.0,105.0,111.0,25900
113.0,113.0,122.0,113.0,122.0,33500
119.0,119.0,120.0,111.0,111.0,1000
120.0,120.0,125.0,120.0,125.0,5200
120.0,120.0,120.0,120.0,120.0,200
132.0,132.0,132.0,120.0,120.0,144400
145.0,145.0,145.0,144.0,145.0,55600
145.0,145.0,146.0,131.0,145.0,7800
144.0,144.0,145.0,144.0,145.0,1100
132.0,132.0,142.0,131.0,135.0,8200
133.0,133.0,133.0,130.0,130.0,2700
139.0,139.0,139.0,137.0,139.0,2900
139.0,139.0,139.0,139.0,139.0,0
139.0,139.0,139.0,139.0,139.0,10000
135.0,135.0,135.0,135.0,135.0,8300
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,100
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,46000
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,800
135.0,135.0,135.0,135.0,135.0,0
135.0,135.0,135.0,135.0,135.0,1000
179.0,179.0,182.0,135.0,144.0,262500
154.0,154.0,214.0,152.0,182.0,256500
157.0,157.0,158.0,154.0,154.0,44400
139.0,139.0,156.0,138.0,152.0,67500
139.0,139.0,179.0,125.0,139.0,17100
139.0,139.0,139.0,139.0,139.0,200
155.0,155.0,173.0,120.0,138.0,104400
155.0,155.0,168.0,150.0,155.0,149900
155.0,155.0,155.0,155.0,155.0,27600
155.0,155.0,156.0,145.0,155.0,20500
155.0,155.0,155.0,145.0,145.0,93400
155.0,155.0,175.0,145.0,155.0,11800
155.0,155.0,155.0,150.0,155.0,18000
155.0,155.0,155.0,155.0,155.0,11200
157.0,157.0,157.0,155.0,155.0,12600
157.0,157.0,157.0,149.0,157.0,5800
157.0,157.0,160.0,157.0,160.0,2200
160.0,160.0,160.0,160.0,160.0,4100
160.0,160.0,160.0,160.0,160.0,2000
180.0,180.0,181.0,160.0,160.0,48500
179.0,179.0,180.0,170.0,180.0,16400
