Adj Close,Close,High,Low,Open,Volume
SDMU.JK,SDMU.JK,SDMU.JK,SDMU.JK,SDMU.JK,SDMU.JK
50.0,50.0,50.0,50.0,50.0,1700
50.0,50.0,50.0,50.0,50.0,100000
50.0,50.0,50.0,50.0,50.0,4100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,17100
50.0,50.0,50.0,50.0,50.0,14000
50.0,50.0,50.0,50.0,50.0,2200
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,1600
50.0,50.0,50.0,50.0,50.0,25600
50.0,50.0,50.0,50.0,50.0,22200
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,1200
50.0,50.0,50.0,50.0,50.0,6000
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,393600
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,2500
50.0,50.0,50.0,50.0,50.0,900
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,3300
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,900
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1900
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1600
50.0,50.0,50.0,50.0,50.0,6800
50.0,50.0,50.0,50.0,50.0,122400
50.0,50.0,50.0,50.0,50.0,40300
50.0,50.0,50.0,50.0,50.0,20800
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,2900
50.0,50.0,50.0,50.0,50.0,2000
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,167300
50.0,50.0,50.0,50.0,50.0,10000
50.0,50.0,50.0,50.0,50.0,68300
50.0,50.0,50.0,50.0,50.0,63700
50.0,50.0,50.0,50.0,50.0,202900
50.0,50.0,50.0,50.0,50.0,25200
50.0,50.0,50.0,50.0,50.0,400200
50.0,50.0,50.0,50.0,50.0,70600
50.0,50.0,50.0,50.0,50.0,52600
50.0,50.0,50.0,50.0,50.0,50400
50.0,50.0,50.0,50.0,50.0,1200
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,20100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,9300
50.0,50.0,50.0,50.0,50.0,2400
50.0,50.0,50.0,50.0,50.0,37900
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,4300
50.0,50.0,50.0,50.0,50.0,167600
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,231800
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,157000
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1900400
50.0,50.0,50.0,50.0,50.0,50800
50.0,50.0,50.0,50.0,50.0,4600
45.0,45.0,45.0,45.0,45.0,10700
41.0,41.0,41.0,41.0,41.0,93600
37.0,37.0,37.0,37.0,37.0,29000
34.0,34.0,34.0,34.0,34.0,505600
31.0,31.0,31.0,31.0,31.0,1640600
28.0,28.0,28.0,28.0,28.0,1937000
