Adj Close,Close,High,Low,Open,Volume
SMGA.JK,SMGA.JK,SMGA.JK,SMGA.JK,SMGA.JK,SMGA.JK
141.0,141.0,141.0,112.0,141.0,2140050800
129.0,129.0,170.0,127.0,151.0,1175796900
116.0,116.0,129.0,114.0,129.0,480813300
117.0,117.0,130.0,109.0,109.0,382535400
115.0,115.0,121.0,114.0,117.0,137887900
115.0,115.0,117.0,111.0,115.0,149181800
104.0,104.0,115.0,104.0,108.0,155360400
92.0,92.0,105.0,88.0,105.0,268911400
83.0,83.0,93.0,61.0,61.0,254123600
79.0,79.0,89.0,77.0,78.0,154441300
80.0,80.0,81.0,71.0,71.0,147043600
86.0,86.0,88.0,79.0,80.0,189075500
83.0,83.0,88.0,82.0,86.0,69805600
81.0,81.0,84.0,80.0,83.0,43429600
85.0,85.0,86.0,79.0,81.0,80814300
101.0,101.0,102.0,85.0,86.0,498028400
97.0,97.0,104.0,93.0,103.0,288329300
103.0,103.0,110.0,93.0,100.0,353496900
102.0,102.0,109.0,101.0,105.0,253110600
97.0,97.0,105.0,97.0,103.0,76054700
95.0,95.0,103.0,95.0,97.0,67550500
90.0,90.0,96.0,90.0,95.0,66750000
93.0,93.0,97.0,86.0,91.0,88572200
99.0,99.0,101.0,93.0,96.0,129652900
94.0,94.0,101.0,94.0,100.0,54459700
94.0,94.0,97.0,93.0,94.0,21738700
90.0,90.0,96.0,89.0,94.0,45447300
89.0,89.0,94.0,87.0,90.0,31666500
88.0,88.0,92.0,87.0,89.0,39692000
88.0,88.0,90.0,86.0,86.0,26051200
88.0,88.0,89.0,86.0,88.0,22207800
86.0,86.0,89.0,84.0,88.0,45972200
92.0,92.0,95.0,84.0,84.0,74380100
89.0,89.0,94.0,88.0,92.0,27908900
89.0,89.0,89.0,89.0,89.0,0
89.0,89.0,89.0,89.0,89.0,0
91.0,91.0,92.0,87.0,89.0,55608500
89.0,89.0,92.0,88.0,91.0,35268700
85.0,85.0,90.0,85.0,89.0,39042400
83.0,83.0,86.0,82.0,85.0,61485000
78.0,78.0,83.0,78.0,83.0,50782600
80.0,80.0,82.0,77.0,78.0,38591000
82.0,82.0,83.0,79.0,79.0,41184800
81.0,81.0,82.0,78.0,82.0,34237000
83.0,83.0,85.0,72.0,72.0,71899200
82.0,82.0,84.0,80.0,83.0,53847000
80.0,80.0,82.0,78.0,82.0,40258700
