Adj Close,Close,High,Low,Open,Volume
TFAS.JK,TFAS.JK,TFAS.JK,TFAS.JK,TFAS.JK,TFAS.JK
990.0,990.0,1050.0,960.0,965.0,365700
965.0,965.0,1005.0,940.0,1005.0,166000
960.0,960.0,985.0,930.0,985.0,128100
960.0,960.0,975.0,950.0,960.0,96800
945.0,945.0,970.0,935.0,970.0,93300
940.0,940.0,970.0,925.0,945.0,59500
910.0,910.0,940.0,900.0,940.0,138800
920.0,920.0,950.0,900.0,920.0,156300
915.0,915.0,935.0,910.0,920.0,72500
915.0,915.0,930.0,910.0,915.0,29100
900.0,900.0,925.0,895.0,915.0,101700
885.0,885.0,900.0,885.0,900.0,84000
865.0,865.0,885.0,850.0,885.0,133500
855.0,855.0,870.0,795.0,865.0,78500
835.0,835.0,850.0,825.0,850.0,89200
830.0,830.0,860.0,810.0,845.0,118000
830.0,830.0,850.0,820.0,830.0,62400
830.0,830.0,840.0,800.0,830.0,84200
805.0,805.0,830.0,800.0,820.0,64900
790.0,790.0,805.0,765.0,805.0,97300
785.0,785.0,805.0,775.0,790.0,48100
795.0,795.0,810.0,785.0,785.0,30100
805.0,805.0,805.0,770.0,790.0,70800
805.0,805.0,815.0,780.0,815.0,86600
805.0,805.0,820.0,795.0,795.0,67200
805.0,805.0,815.0,800.0,800.0,92900
800.0,800.0,810.0,800.0,810.0,55200
775.0,775.0,800.0,775.0,800.0,59600
775.0,775.0,780.0,735.0,775.0,99700
780.0,780.0,790.0,725.0,780.0,89400
780.0,780.0,785.0,750.0,785.0,7000
680.0,680.0,930.0,680.0,780.0,1201600
700.0,700.0,830.0,665.0,680.0,1481900
700.0,700.0,715.0,675.0,705.0,363000
700.0,700.0,705.0,680.0,685.0,411300
675.0,675.0,705.0,675.0,685.0,161300
675.0,675.0,700.0,660.0,680.0,142800
650.0,650.0,675.0,645.0,675.0,118300
625.0,625.0,645.0,600.0,645.0,219100
580.0,580.0,615.0,575.0,615.0,570600
580.0,580.0,580.0,510.0,580.0,437400
535.0,535.0,575.0,500.0,575.0,130800
555.0,555.0,665.0,525.0,525.0,1255500
555.0,555.0,585.0,530.0,560.0,441400
545.0,545.0,555.0,515.0,555.0,117000
545.0,545.0,560.0,530.0,545.0,104000
520.0,520.0,545.0,520.0,545.0,133100
510.0,510.0,540.0,500.0,535.0,163300
515.0,515.0,545.0,510.0,510.0,52900
480.0,480.0,515.0,476.0,515.0,224100
486.0,486.0,498.0,478.0,486.0,42900
484.0,484.0,520.0,480.0,490.0,107600
535.0,535.0,605.0,480.0,484.0,283400
525.0,525.0,580.0,515.0,580.0,169800
515.0,515.0,545.0,510.0,535.0,43000
515.0,515.0,540.0,500.0,515.0,60700
515.0,515.0,530.0,510.0,515.0,116400
525.0,525.0,525.0,500.0,525.0,177300
535.0,535.0,535.0,505.0,515.0,108500
525.0,525.0,545.0,500.0,535.0,119900
505.0,505.0,540.0,492.0,510.0,136000
520.0,520.0,535.0,500.0,530.0,44200
530.0,530.0,530.0,500.0,525.0,33000
535.0,535.0,535.0,505.0,505.0,34100
530.0,530.0,540.0,515.0,540.0,12000
560.0,560.0,615.0,505.0,530.0,309200
550.0,550.0,575.0,515.0,575.0,111100
482.0,482.0,565.0,480.0,565.0,841100
494.0,494.0,535.0,468.0,482.0,272600
494.0,494.0,494.0,486.0,494.0,54300
490.0,490.0,496.0,484.0,494.0,200000
490.0,490.0,494.0,484.0,486.0,35500
492.0,492.0,505.0,472.0,482.0,196000
490.0,490.0,500.0,482.0,492.0,43100
488.0,488.0,490.0,480.0,490.0,63600
482.0,482.0,498.0,480.0,498.0,16400
476.0,476.0,484.0,476.0,482.0,75200
468.0,468.0,478.0,468.0,476.0,98800
464.0,464.0,468.0,458.0,468.0,114200
448.0,448.0,464.0,448.0,464.0,63900
444.0,444.0,448.0,438.0,448.0,31300
448.0,448.0,496.0,442.0,444.0,31000
438.0,438.0,448.0,438.0,448.0,23400
400.0,400.0,440.0,400.0,438.0,166100
386.0,386.0,400.0,370.0,400.0,323300
370.0,370.0,386.0,316.0,386.0,1756900
362.0,362.0,372.0,356.0,372.0,127800
348.0,348.0,368.0,340.0,368.0,68000
340.0,340.0,372.0,318.0,340.0,340900
322.0,322.0,400.0,322.0,400.0,133500
296.0,296.0,320.0,294.0,320.0,233100
266.0,266.0,300.0,266.0,296.0,335700
294.0,294.0,320.0,266.0,266.0,1631800
254.0,254.0,294.0,244.0,294.0,789800
238.0,238.0,258.0,236.0,258.0,364800
230.0,230.0,238.0,220.0,238.0,103000
199.0,199.0,230.0,198.0,230.0,749200
196.0,196.0,204.0,193.0,204.0,283600
190.0,190.0,196.0,186.0,196.0,161000
190.0,190.0,190.0,180.0,190.0,117700
184.0,184.0,189.0,182.0,189.0,45100
187.0,187.0,188.0,182.0,184.0,34800
182.0,182.0,252.0,172.0,188.0,12012700
177.0,177.0,220.0,174.0,181.0,5321100
160.0,160.0,179.0,159.0,179.0,828400
159.0,159.0,176.0,156.0,176.0,719000
149.0,149.0,165.0,145.0,161.0,720000
143.0,143.0,155.0,140.0,150.0,406800
139.0,139.0,143.0,132.0,143.0,182100
130.0,130.0,142.0,129.0,142.0,392100
133.0,133.0,143.0,129.0,134.0,228500
125.0,125.0,134.0,123.0,131.0,290500
125.0,125.0,130.0,123.0,125.0,117100
118.0,118.0,129.0,116.0,125.0,333800
118.0,118.0,126.0,113.0,120.0,289800
131.0,131.0,147.0,117.0,119.0,714000
176.0,176.0,176.0,130.0,132.0,5477000
146.0,146.0,220.0,140.0,220.0,12128900
139.0,139.0,146.0,134.0,144.0,733400
130.0,130.0,145.0,127.0,140.0,1293100
129.0,129.0,132.0,126.0,130.0,347400
124.0,124.0,129.0,122.0,129.0,253300
123.0,123.0,150.0,120.0,124.0,2229300
122.0,122.0,126.0,120.0,123.0,385900
120.0,120.0,124.0,116.0,120.0,271200
122.0,122.0,125.0,120.0,120.0,67500
119.0,119.0,124.0,116.0,122.0,135600
118.0,118.0,121.0,118.0,119.0,122800
116.0,116.0,120.0,116.0,119.0,128600
116.0,116.0,118.0,113.0,116.0,72200
115.0,115.0,127.0,109.0,116.0,534700
112.0,112.0,115.0,109.0,115.0,318800
103.0,103.0,114.0,103.0,112.0,439900
103.0,103.0,107.0,103.0,106.0,187300
103.0,103.0,107.0,100.0,104.0,183100
104.0,104.0,107.0,102.0,103.0,52100
104.0,104.0,111.0,103.0,104.0,109000
104.0,104.0,107.0,102.0,104.0,114600
105.0,105.0,120.0,104.0,104.0,719400
110.0,110.0,119.0,106.0,112.0,600200
110.0,110.0,111.0,106.0,111.0,126800
109.0,109.0,113.0,109.0,111.0,143300
107.0,107.0,109.0,105.0,109.0,73200
107.0,107.0,112.0,106.0,112.0,41400
106.0,106.0,107.0,104.0,105.0,108100
108.0,108.0,110.0,105.0,106.0,129300
126.0,126.0,145.0,108.0,108.0,7278900
126.0,126.0,136.0,118.0,131.0,1511300
125.0,125.0,135.0,120.0,127.0,870900
124.0,124.0,131.0,122.0,126.0,626900
124.0,124.0,128.0,122.0,125.0,182200
120.0,120.0,123.0,112.0,123.0,575600
119.0,119.0,123.0,116.0,120.0,346600
