Adj Close,Close,High,Low,Open,Volume
TIRA.JK,TIRA.JK,TIRA.JK,TIRA.JK,TIRA.JK,TIRA.JK
408.0,408.0,408.0,408.0,408.0,9600
404.0,404.0,404.0,404.0,404.0,2600
404.0,404.0,404.0,404.0,404.0,0
404.0,404.0,404.0,404.0,404.0,26900
404.0,404.0,404.0,404.0,404.0,6600
400.0,400.0,402.0,400.0,402.0,7000
400.0,400.0,400.0,400.0,400.0,20000
398.0,398.0,400.0,398.0,400.0,15300
398.0,398.0,398.0,398.0,398.0,33800
394.0,394.0,394.0,394.0,394.0,5800
392.0,392.0,392.0,392.0,392.0,10100
380.0,380.0,380.0,380.0,380.0,4800
380.0,380.0,380.0,380.0,380.0,0
380.0,380.0,380.0,380.0,380.0,10300
370.0,370.0,370.0,370.0,370.0,4400
370.0,370.0,370.0,370.0,370.0,5000
370.0,370.0,370.0,370.0,370.0,4200
360.0,360.0,360.0,360.0,360.0,5100
360.0,360.0,360.0,360.0,360.0,4100
350.0,350.0,350.0,350.0,350.0,6000
340.0,340.0,340.0,340.0,340.0,4500
350.0,350.0,352.0,350.0,352.0,6800
350.0,350.0,350.0,350.0,350.0,900
352.0,352.0,352.0,352.0,352.0,4000
342.0,342.0,342.0,342.0,342.0,2900
350.0,350.0,350.0,346.0,346.0,3400
344.0,344.0,344.0,340.0,340.0,5000
350.0,350.0,350.0,350.0,350.0,2700
354.0,354.0,354.0,354.0,354.0,2900
360.0,360.0,360.0,360.0,360.0,2900
364.0,364.0,364.0,364.0,364.0,4200
368.0,368.0,368.0,368.0,368.0,3200
368.0,368.0,368.0,368.0,368.0,3800
360.0,360.0,360.0,360.0,360.0,3200
358.0,358.0,358.0,358.0,358.0,2800
358.0,358.0,358.0,358.0,358.0,3500
392.0,392.0,392.0,352.0,352.0,3000
380.0,380.0,380.0,380.0,380.0,31900
360.0,360.0,360.0,360.0,360.0,27900
358.0,358.0,360.0,358.0,360.0,12000
358.0,358.0,358.0,358.0,358.0,0
360.0,360.0,360.0,360.0,360.0,24700
396.0,396.0,396.0,364.0,364.0,15900
398.0,398.0,398.0,398.0,398.0,29700
400.0,400.0,400.0,400.0,400.0,23000
400.0,400.0,400.0,400.0,400.0,20000
440.0,440.0,440.0,402.0,402.0,31500
436.0,436.0,438.0,436.0,438.0,36100
394.0,394.0,394.0,394.0,394.0,21000
406.0,406.0,406.0,406.0,406.0,20000
404.0,404.0,404.0,404.0,404.0,20100
402.0,402.0,402.0,402.0,402.0,20000
366.0,366.0,366.0,364.0,364.0,14600
370.0,370.0,370.0,370.0,370.0,14700
380.0,380.0,380.0,380.0,380.0,14700
400.0,400.0,400.0,400.0,400.0,17300
388.0,388.0,388.0,388.0,388.0,25200
400.0,400.0,400.0,400.0,400.0,15700
360.0,360.0,398.0,360.0,398.0,13200
372.0,372.0,372.0,372.0,372.0,14900
380.0,380.0,380.0,380.0,380.0,7000
382.0,382.0,382.0,382.0,382.0,15000
420.0,420.0,420.0,388.0,388.0,14300
420.0,420.0,420.0,420.0,420.0,13000
414.0,414.0,414.0,414.0,414.0,15000
412.0,412.0,412.0,412.0,412.0,12000
410.0,410.0,410.0,410.0,410.0,13000
370.0,370.0,408.0,370.0,408.0,12900
382.0,382.0,382.0,382.0,382.0,13300
392.0,392.0,392.0,390.0,390.0,11700
398.0,398.0,398.0,398.0,398.0,14100
360.0,360.0,396.0,360.0,396.0,13600
370.0,370.0,370.0,370.0,370.0,14500
406.0,406.0,406.0,378.0,378.0,22000
366.0,366.0,406.0,366.0,406.0,20300
402.0,402.0,402.0,366.0,366.0,14100
382.0,382.0,382.0,382.0,382.0,21900
344.0,344.0,380.0,344.0,380.0,15600
344.0,344.0,344.0,344.0,344.0,15000
344.0,344.0,344.0,344.0,344.0,20000
350.0,350.0,350.0,346.0,346.0,17500
384.0,384.0,384.0,350.0,350.0,14800
384.0,384.0,384.0,384.0,384.0,15500
384.0,384.0,384.0,384.0,384.0,14800
382.0,382.0,382.0,382.0,382.0,16700
386.0,386.0,386.0,386.0,386.0,15500
384.0,384.0,384.0,384.0,384.0,14400
370.0,370.0,382.0,370.0,382.0,14300
374.0,374.0,374.0,370.0,370.0,20500
406.0,406.0,410.0,374.0,374.0,16900
406.0,406.0,406.0,406.0,406.0,15100
366.0,366.0,406.0,366.0,406.0,14200
402.0,402.0,402.0,368.0,368.0,14200
400.0,400.0,400.0,400.0,400.0,13800
402.0,402.0,402.0,402.0,402.0,15100
400.0,400.0,400.0,400.0,400.0,14700
390.0,390.0,390.0,390.0,390.0,13600
390.0,390.0,390.0,390.0,390.0,13500
360.0,360.0,400.0,360.0,400.0,24200
396.0,396.0,396.0,364.0,364.0,17000
410.0,410.0,410.0,396.0,396.0,15500
416.0,416.0,416.0,410.0,410.0,14800
376.0,376.0,414.0,376.0,410.0,13200
386.0,386.0,386.0,378.0,378.0,14900
384.0,384.0,384.0,384.0,384.0,14000
384.0,384.0,384.0,384.0,384.0,17000
352.0,352.0,390.0,352.0,384.0,26300
386.0,386.0,386.0,358.0,358.0,16500
424.0,424.0,424.0,384.0,384.0,23500
418.0,418.0,420.0,418.0,420.0,13900
416.0,416.0,418.0,416.0,418.0,14600
376.0,376.0,416.0,376.0,416.0,15100
384.0,384.0,384.0,378.0,378.0,14800
420.0,420.0,422.0,382.0,382.0,14200
414.0,414.0,414.0,414.0,414.0,25100
414.0,414.0,414.0,374.0,406.0,43100
408.0,408.0,408.0,408.0,408.0,19600
390.0,390.0,404.0,390.0,404.0,23100
386.0,386.0,386.0,386.0,386.0,32000
384.0,384.0,384.0,380.0,382.0,25700
384.0,384.0,390.0,384.0,384.0,18500
422.0,422.0,422.0,386.0,386.0,96700
414.0,414.0,418.0,414.0,414.0,17700
408.0,408.0,420.0,408.0,416.0,90700
410.0,410.0,420.0,406.0,410.0,70300
418.0,418.0,420.0,406.0,412.0,60200
414.0,414.0,418.0,380.0,418.0,154800
406.0,406.0,418.0,396.0,410.0,92300
414.0,414.0,416.0,406.0,408.0,22500
408.0,408.0,416.0,396.0,416.0,28500
404.0,404.0,410.0,390.0,410.0,32100
304.0,304.0,380.0,304.0,370.0,75500
376.0,376.0,380.0,310.0,326.0,182800
356.0,356.0,386.0,352.0,380.0,61900
360.0,360.0,390.0,350.0,356.0,13700
316.0,316.0,370.0,274.0,370.0,15200
358.0,358.0,360.0,316.0,340.0,5100
342.0,342.0,360.0,276.0,360.0,4100
346.0,346.0,364.0,282.0,334.0,18600
358.0,358.0,386.0,308.0,348.0,15100
374.0,374.0,390.0,322.0,364.0,14200
368.0,368.0,374.0,336.0,372.0,25000
362.0,362.0,368.0,344.0,368.0,15400
350.0,350.0,368.0,322.0,368.0,5400
358.0,358.0,390.0,348.0,362.0,15300
374.0,374.0,388.0,324.0,340.0,47300
366.0,366.0,372.0,332.0,354.0,65700
364.0,364.0,364.0,340.0,340.0,6000
364.0,364.0,384.0,358.0,384.0,17700
360.0,360.0,360.0,350.0,360.0,14100
368.0,368.0,388.0,362.0,388.0,5300
352.0,352.0,366.0,350.0,366.0,6400
364.0,364.0,368.0,350.0,350.0,8100
366.0,366.0,370.0,342.0,342.0,69000
352.0,352.0,366.0,352.0,366.0,60600
358.0,358.0,360.0,358.0,360.0,59800
342.0,342.0,358.0,328.0,358.0,600
350.0,350.0,366.0,332.0,360.0,27000
370.0,370.0,378.0,350.0,350.0,24100
366.0,366.0,368.0,332.0,350.0,19500
376.0,376.0,386.0,354.0,364.0,33000
374.0,374.0,386.0,374.0,386.0,20200
376.0,376.0,376.0,350.0,354.0,16600
374.0,374.0,380.0,374.0,380.0,200
372.0,372.0,372.0,370.0,370.0,39100
370.0,370.0,376.0,310.0,376.0,21400
390.0,390.0,396.0,326.0,368.0,10500
366.0,366.0,396.0,328.0,328.0,13200
360.0,360.0,360.0,350.0,350.0,31300
386.0,386.0,386.0,310.0,310.0,8700
368.0,368.0,406.0,368.0,406.0,5400
388.0,388.0,388.0,388.0,388.0,100
384.0,384.0,384.0,382.0,382.0,62400
376.0,376.0,384.0,360.0,372.0,20900
370.0,370.0,384.0,350.0,380.0,20300
368.0,368.0,370.0,322.0,366.0,21800
360.0,360.0,360.0,360.0,360.0,5100
382.0,382.0,382.0,360.0,362.0,15600
374.0,374.0,384.0,364.0,382.0,16800
388.0,388.0,388.0,372.0,386.0,27100
388.0,388.0,388.0,352.0,364.0,16000
382.0,382.0,384.0,378.0,378.0,19000
380.0,380.0,382.0,380.0,382.0,15900
382.0,382.0,388.0,362.0,376.0,21100
368.0,368.0,386.0,368.0,370.0,16900
408.0,408.0,430.0,388.0,388.0,82800
372.0,372.0,408.0,348.0,408.0,28500
356.0,356.0,464.0,350.0,372.0,52100
356.0,356.0,376.0,356.0,376.0,18100
360.0,360.0,372.0,342.0,356.0,29600
380.0,380.0,380.0,362.0,362.0,50300
422.0,422.0,422.0,378.0,378.0,29200
410.0,410.0,424.0,410.0,422.0,117800
418.0,418.0,424.0,418.0,424.0,15300
400.0,400.0,420.0,400.0,418.0,18500
418.0,418.0,424.0,390.0,390.0,16200
420.0,420.0,420.0,406.0,406.0,12700
420.0,420.0,420.0,414.0,418.0,22700
410.0,410.0,420.0,410.0,420.0,17000
416.0,416.0,416.0,402.0,410.0,4300
412.0,412.0,422.0,400.0,416.0,6800
412.0,412.0,414.0,364.0,402.0,27300
406.0,406.0,408.0,390.0,408.0,15000
380.0,380.0,404.0,374.0,402.0,9100
412.0,412.0,432.0,380.0,398.0,12700
515.0,515.0,515.0,394.0,412.0,186600
462.0,462.0,515.0,426.0,515.0,425200
442.0,442.0,462.0,426.0,460.0,64200
430.0,430.0,446.0,412.0,442.0,17400
520.0,520.0,530.0,424.0,430.0,83000
468.0,468.0,650.0,452.0,510.0,391600
500.0,500.0,585.0,464.0,478.0,404800
510.0,510.0,540.0,470.0,505.0,123200
