Adj Close,Close,High,Low,Open,Volume
TOBA.JK,TOBA.JK,TOBA.JK,TOBA.JK,TOBA.JK,TOBA.JK
274.0,274.0,288.0,274.0,276.0,60144700
268.0,268.0,278.0,268.0,276.0,23475700
260.0,260.0,272.0,256.0,268.0,32246300
248.0,248.0,264.0,244.0,260.0,30882400
224.0,224.0,252.0,216.0,216.0,58265800
226.0,226.0,236.0,220.0,220.0,31435200
226.0,226.0,232.0,222.0,224.0,14365300
232.0,232.0,236.0,226.0,226.0,16000600
246.0,246.0,256.0,226.0,226.0,42266600
244.0,244.0,252.0,240.0,246.0,13537800
250.0,250.0,256.0,244.0,244.0,17038600
246.0,246.0,254.0,244.0,252.0,8133400
246.0,246.0,250.0,242.0,248.0,8791500
252.0,252.0,260.0,248.0,248.0,14371300
252.0,252.0,258.0,248.0,252.0,12151500
250.0,250.0,258.0,246.0,252.0,7121300
256.0,256.0,264.0,250.0,250.0,16939500
252.0,252.0,272.0,252.0,258.0,24920300
252.0,252.0,262.0,250.0,252.0,11349200
234.0,234.0,264.0,230.0,252.0,31419100
246.0,246.0,248.0,232.0,234.0,9310300
234.0,234.0,250.0,234.0,246.0,9296600
242.0,242.0,248.0,234.0,240.0,6406200
258.0,258.0,268.0,234.0,242.0,46315500
288.0,288.0,302.0,258.0,258.0,255547000
292.0,292.0,294.0,274.0,292.0,56477100
306.0,306.0,312.0,286.0,292.0,126540600
296.0,296.0,310.0,292.0,306.0,66051700
310.0,310.0,316.0,296.0,296.0,48694500
298.0,298.0,314.0,296.0,310.0,29235000
290.0,290.0,302.0,290.0,298.0,18853300
304.0,304.0,304.0,284.0,290.0,33606300
314.0,314.0,326.0,298.0,304.0,89504300
302.0,302.0,314.0,302.0,314.0,33495600
302.0,302.0,306.0,290.0,304.0,24970400
296.0,296.0,312.0,296.0,306.0,31272300
300.0,300.0,304.0,292.0,298.0,19017700
302.0,302.0,304.0,294.0,300.0,9337200
308.0,308.0,312.0,296.0,300.0,36569600
306.0,306.0,310.0,302.0,306.0,18917100
304.0,304.0,314.0,296.0,306.0,34556600
296.0,296.0,304.0,296.0,304.0,16402200
282.0,282.0,296.0,272.0,296.0,73426800
280.0,280.0,292.0,276.0,282.0,25008300
278.0,278.0,284.0,276.0,282.0,10023500
274.0,274.0,280.0,274.0,278.0,6792400
