Adj Close,Close,High,Low,Open,Volume
TRGU.JK,TRGU.JK,TRGU.JK,TRGU.JK,TRGU.JK,TRGU.JK
200.0,200.0,202.0,197.0,198.0,3818900
200.0,200.0,202.0,198.0,200.0,157300
206.0,206.0,208.0,196.0,198.0,1118300
204.0,204.0,206.0,196.0,202.0,723200
204.0,204.0,204.0,197.0,202.0,1638800
204.0,204.0,204.0,198.0,198.0,1721000
204.0,204.0,204.0,199.0,200.0,1476700
200.0,200.0,204.0,198.0,202.0,919000
198.0,198.0,202.0,198.0,200.0,1509200
198.0,198.0,198.0,197.0,198.0,92100
198.0,198.0,198.0,197.0,198.0,503400
197.0,197.0,198.0,197.0,198.0,128600
196.0,196.0,200.0,195.0,196.0,225700
192.0,192.0,199.0,188.0,196.0,1689900
192.0,192.0,195.0,190.0,193.0,493800
190.0,190.0,193.0,190.0,192.0,325400
189.0,189.0,191.0,189.0,191.0,364100
188.0,188.0,189.0,188.0,188.0,289200
188.0,188.0,190.0,186.0,189.0,16059600
185.0,185.0,189.0,180.0,189.0,807200
183.0,183.0,188.0,175.0,182.0,83036200
190.0,190.0,195.0,185.0,186.0,44351300
194.0,194.0,194.0,188.0,191.0,32548200
194.0,194.0,198.0,193.0,194.0,30645600
191.0,191.0,195.0,191.0,195.0,287900
186.0,186.0,191.0,186.0,191.0,413400
184.0,184.0,187.0,183.0,187.0,271200
184.0,184.0,187.0,183.0,184.0,57300
187.0,187.0,187.0,185.0,185.0,74900
184.0,184.0,187.0,184.0,187.0,67500
187.0,187.0,197.0,182.0,188.0,467000
177.0,177.0,188.0,177.0,187.0,410500
179.0,179.0,181.0,171.0,178.0,397600
177.0,177.0,180.0,177.0,180.0,58600
178.0,178.0,179.0,176.0,178.0,495300
179.0,179.0,180.0,178.0,179.0,31400
176.0,176.0,179.0,176.0,179.0,305000
179.0,179.0,180.0,174.0,176.0,554800
179.0,179.0,184.0,176.0,180.0,112300
177.0,177.0,179.0,175.0,179.0,239400
177.0,177.0,179.0,176.0,177.0,106800
177.0,177.0,177.0,177.0,177.0,0
177.0,177.0,183.0,175.0,175.0,241800
176.0,176.0,181.0,175.0,177.0,274200
176.0,176.0,177.0,175.0,176.0,416000
174.0,174.0,177.0,174.0,175.0,182700
171.0,171.0,174.0,170.0,174.0,686000
169.0,169.0,171.0,163.0,170.0,367300
170.0,170.0,170.0,166.0,169.0,117200
167.0,167.0,171.0,166.0,170.0,442600
169.0,169.0,170.0,164.0,167.0,319500
169.0,169.0,169.0,166.0,169.0,220100
170.0,170.0,170.0,168.0,170.0,96400
171.0,171.0,171.0,166.0,170.0,120500
180.0,180.0,184.0,170.0,170.0,801900
184.0,184.0,187.0,181.0,181.0,794000
187.0,187.0,189.0,182.0,182.0,914200
189.0,189.0,191.0,186.0,188.0,2173000
191.0,191.0,191.0,178.0,186.0,1104500
200.0,200.0,200.0,189.0,189.0,1306700
200.0,200.0,204.0,196.0,196.0,1586300
202.0,202.0,204.0,197.0,200.0,819700
210.0,210.0,210.0,200.0,204.0,1471300
216.0,216.0,228.0,208.0,210.0,3278600
210.0,210.0,220.0,202.0,216.0,951800
216.0,216.0,222.0,206.0,208.0,3376000
214.0,214.0,220.0,210.0,218.0,452400
216.0,216.0,218.0,210.0,210.0,392000
218.0,218.0,218.0,210.0,216.0,329700
218.0,218.0,218.0,200.0,200.0,983800
218.0,218.0,218.0,212.0,218.0,188100
218.0,218.0,220.0,216.0,218.0,44300
218.0,218.0,220.0,210.0,216.0,291900
216.0,216.0,218.0,210.0,218.0,435000
218.0,218.0,222.0,212.0,212.0,326400
218.0,218.0,224.0,212.0,220.0,392900
216.0,216.0,216.0,212.0,214.0,163400
216.0,216.0,216.0,210.0,216.0,153700
216.0,216.0,216.0,212.0,212.0,50200
216.0,216.0,220.0,212.0,212.0,87100
216.0,216.0,216.0,212.0,212.0,209800
228.0,228.0,228.0,212.0,212.0,788100
220.0,220.0,220.0,216.0,220.0,197600
218.0,218.0,224.0,212.0,224.0,295800
220.0,220.0,220.0,210.0,214.0,572600
216.0,216.0,218.0,214.0,218.0,96800
216.0,216.0,216.0,216.0,216.0,0
216.0,216.0,216.0,216.0,216.0,0
208.0,208.0,214.0,208.0,212.0,71800
200.0,200.0,208.0,198.0,208.0,358800
196.0,196.0,202.0,196.0,200.0,1234800
198.0,198.0,200.0,187.0,198.0,834200
198.0,198.0,199.0,193.0,199.0,211700
198.0,198.0,199.0,196.0,198.0,154300
195.0,195.0,198.0,195.0,198.0,172900
192.0,192.0,200.0,190.0,196.0,58900
192.0,192.0,194.0,190.0,193.0,1866000
193.0,193.0,196.0,193.0,194.0,39100
197.0,197.0,199.0,190.0,195.0,88800
194.0,194.0,195.0,188.0,195.0,109000
190.0,190.0,191.0,187.0,191.0,329200
195.0,195.0,200.0,191.0,191.0,234700
189.0,189.0,195.0,189.0,195.0,253400
186.0,186.0,189.0,186.0,189.0,403400
202.0,202.0,220.0,178.0,185.0,1271700
152.0,152.0,210.0,152.0,190.0,8084800
204.0,204.0,204.0,145.0,145.0,17006500
218.0,218.0,220.0,180.0,204.0,9569400
208.0,208.0,218.0,202.0,202.0,1578600
204.0,204.0,208.0,199.0,208.0,625900
196.0,196.0,204.0,195.0,202.0,400700
210.0,210.0,210.0,188.0,196.0,936600
212.0,212.0,214.0,200.0,214.0,812800
214.0,214.0,214.0,200.0,212.0,766700
214.0,214.0,214.0,206.0,214.0,250500
216.0,216.0,218.0,200.0,214.0,391500
214.0,214.0,216.0,206.0,216.0,53100
216.0,216.0,216.0,206.0,214.0,269800
214.0,214.0,216.0,195.0,216.0,260800
199.0,199.0,214.0,199.0,214.0,452300
212.0,212.0,212.0,198.0,206.0,309200
212.0,212.0,214.0,206.0,212.0,322700
210.0,210.0,212.0,204.0,212.0,180900
210.0,210.0,214.0,204.0,212.0,242600
214.0,214.0,216.0,204.0,212.0,230700
212.0,212.0,214.0,204.0,214.0,123000
200.0,200.0,212.0,200.0,212.0,299400
204.0,204.0,206.0,202.0,206.0,35100
204.0,204.0,206.0,200.0,206.0,257200
200.0,200.0,206.0,200.0,206.0,84900
204.0,204.0,206.0,196.0,202.0,51700
206.0,206.0,206.0,199.0,204.0,125800
200.0,200.0,206.0,196.0,206.0,175400
170.0,170.0,212.0,169.0,202.0,4795500
197.0,197.0,199.0,170.0,170.0,1530400
200.0,200.0,204.0,188.0,199.0,599100
199.0,199.0,200.0,193.0,200.0,606900
202.0,202.0,204.0,190.0,199.0,402700
206.0,206.0,208.0,202.0,202.0,509000
204.0,204.0,206.0,202.0,202.0,108600
208.0,208.0,208.0,202.0,206.0,565800
206.0,206.0,210.0,206.0,210.0,154100
208.0,208.0,208.0,200.0,206.0,136900
208.0,208.0,210.0,204.0,208.0,222400
206.0,206.0,208.0,200.0,208.0,70700
208.0,208.0,208.0,198.0,206.0,261000
206.0,206.0,208.0,204.0,208.0,47300
206.0,206.0,208.0,204.0,208.0,80400
202.0,202.0,208.0,200.0,208.0,58400
196.0,196.0,210.0,195.0,204.0,101800
204.0,204.0,210.0,197.0,197.0,109500
204.0,204.0,204.0,200.0,204.0,11300
200.0,200.0,204.0,198.0,204.0,313400
202.0,202.0,204.0,200.0,200.0,458500
199.0,199.0,202.0,199.0,202.0,178300
200.0,200.0,202.0,197.0,202.0,95600
200.0,200.0,202.0,196.0,199.0,89200
202.0,202.0,206.0,195.0,198.0,188700
200.0,200.0,200.0,195.0,199.0,124100
199.0,199.0,204.0,195.0,200.0,166900
199.0,199.0,200.0,190.0,199.0,159000
199.0,199.0,199.0,191.0,199.0,119100
202.0,202.0,202.0,190.0,197.0,375400
202.0,202.0,202.0,199.0,199.0,263100
199.0,199.0,202.0,190.0,198.0,528000
200.0,200.0,200.0,190.0,200.0,456100
200.0,200.0,200.0,199.0,199.0,65100
200.0,200.0,202.0,190.0,200.0,859000
196.0,196.0,200.0,196.0,196.0,137100
200.0,200.0,200.0,197.0,197.0,61500
206.0,206.0,206.0,196.0,196.0,370800
202.0,202.0,206.0,200.0,204.0,38200
202.0,202.0,204.0,198.0,202.0,42800
206.0,206.0,210.0,200.0,202.0,223500
204.0,204.0,204.0,192.0,204.0,94600
204.0,204.0,204.0,197.0,202.0,87100
204.0,204.0,204.0,200.0,204.0,12800
202.0,202.0,204.0,199.0,204.0,9400
202.0,202.0,204.0,199.0,204.0,12500
202.0,202.0,202.0,194.0,202.0,87500
199.0,199.0,202.0,190.0,202.0,257700
202.0,202.0,202.0,192.0,195.0,266000
200.0,200.0,202.0,195.0,198.0,124000
200.0,200.0,202.0,198.0,202.0,25400
200.0,200.0,200.0,197.0,200.0,127500
202.0,202.0,202.0,193.0,200.0,41200
202.0,202.0,202.0,196.0,200.0,106700
197.0,197.0,202.0,196.0,202.0,103300
195.0,195.0,200.0,194.0,199.0,191500
202.0,202.0,202.0,195.0,196.0,46400
200.0,200.0,202.0,200.0,200.0,74200
202.0,202.0,202.0,197.0,198.0,77500
199.0,199.0,202.0,197.0,197.0,151600
200.0,200.0,202.0,199.0,200.0,79400
200.0,200.0,200.0,197.0,200.0,87400
200.0,200.0,200.0,193.0,197.0,96600
197.0,197.0,200.0,197.0,200.0,16900
197.0,197.0,198.0,196.0,197.0,76600
200.0,200.0,202.0,198.0,202.0,175700
200.0,200.0,202.0,199.0,200.0,30400
200.0,200.0,200.0,196.0,199.0,135400
199.0,199.0,206.0,197.0,200.0,70800
200.0,200.0,200.0,197.0,200.0,179500
200.0,200.0,200.0,196.0,200.0,186700
200.0,200.0,200.0,196.0,196.0,43200
200.0,200.0,200.0,199.0,199.0,31300
199.0,199.0,200.0,196.0,196.0,107300
199.0,199.0,200.0,196.0,200.0,107900
199.0,199.0,199.0,195.0,196.0,118200
200.0,200.0,202.0,195.0,199.0,134100
200.0,200.0,202.0,200.0,200.0,12700
202.0,202.0,202.0,197.0,200.0,96300
200.0,200.0,202.0,194.0,202.0,115000
200.0,200.0,200.0,196.0,200.0,10600
199.0,199.0,200.0,197.0,197.0,42300
202.0,202.0,202.0,196.0,199.0,209200
200.0,200.0,200.0,193.0,200.0,114600
200.0,200.0,202.0,196.0,200.0,147800
199.0,199.0,202.0,199.0,199.0,30800
198.0,198.0,200.0,195.0,199.0,35800
200.0,200.0,200.0,197.0,198.0,188700
199.0,199.0,202.0,198.0,200.0,66000
200.0,200.0,200.0,197.0,199.0,30100
200.0,200.0,200.0,196.0,199.0,307600
200.0,200.0,200.0,199.0,199.0,66900
200.0,200.0,200.0,196.0,196.0,158700
197.0,197.0,200.0,172.0,200.0,1055600
199.0,199.0,202.0,193.0,199.0,425600
200.0,200.0,200.0,198.0,199.0,96000
202.0,202.0,202.0,198.0,200.0,91800
202.0,202.0,202.0,198.0,200.0,78500
210.0,210.0,210.0,199.0,200.0,587000
216.0,216.0,220.0,199.0,214.0,2183300
216.0,216.0,218.0,200.0,216.0,4090500
216.0,216.0,220.0,212.0,214.0,153800
216.0,216.0,218.0,200.0,216.0,452700
216.0,216.0,216.0,202.0,214.0,803400
216.0,216.0,216.0,210.0,216.0,67400
