Adj Close,Close,High,Low,Open,Volume
TRJA.JK,TRJA.JK,TRJA.JK,TRJA.JK,TRJA.JK,TRJA.JK
262.0,262.0,264.0,262.0,264.0,1544400
264.0,264.0,264.0,262.0,262.0,756700
282.0,282.0,322.0,262.0,264.0,68201800
280.0,280.0,310.0,274.0,286.0,97504100
278.0,278.0,290.0,274.0,284.0,16756900
266.0,266.0,280.0,264.0,280.0,13772400
250.0,250.0,268.0,250.0,250.0,13061900
262.0,262.0,276.0,250.0,250.0,20098300
260.0,260.0,266.0,258.0,266.0,3741600
280.0,280.0,290.0,260.0,262.0,40239700
270.0,270.0,282.0,268.0,280.0,17562000
272.0,272.0,278.0,266.0,274.0,14703800
264.0,264.0,276.0,264.0,274.0,14723900
270.0,270.0,272.0,262.0,264.0,16249800
268.0,268.0,270.0,266.0,268.0,6378800
268.0,268.0,272.0,268.0,268.0,12473900
268.0,268.0,272.0,268.0,270.0,6282000
272.0,272.0,274.0,270.0,272.0,12061400
270.0,270.0,274.0,270.0,272.0,9967300
270.0,270.0,276.0,270.0,272.0,8690100
272.0,272.0,274.0,270.0,274.0,7335100
272.0,272.0,274.0,272.0,272.0,2406700
272.0,272.0,274.0,272.0,272.0,4702600
272.0,272.0,274.0,272.0,272.0,3151200
272.0,272.0,278.0,272.0,272.0,9448800
274.0,274.0,276.0,272.0,274.0,1625700
272.0,272.0,274.0,272.0,274.0,2001600
272.0,272.0,276.0,272.0,274.0,4763000
272.0,272.0,274.0,272.0,272.0,3800100
272.0,272.0,274.0,272.0,272.0,4041900
274.0,274.0,274.0,272.0,274.0,3664500
272.0,272.0,274.0,272.0,274.0,3883400
274.0,274.0,276.0,272.0,272.0,1106300
274.0,274.0,274.0,272.0,274.0,2847600
272.0,272.0,274.0,272.0,274.0,3593000
272.0,272.0,276.0,272.0,272.0,1908300
272.0,272.0,276.0,272.0,272.0,3933200
274.0,274.0,274.0,272.0,272.0,1742100
274.0,274.0,276.0,272.0,274.0,6169000
278.0,278.0,280.0,274.0,276.0,8266500
