Adj Close,Close,High,Low,Open,Volume
VERN.JK,VERN.JK,VERN.JK,VERN.JK,VERN.JK,VERN.JK
200.0,200.0,262.0,199.0,262.0,664290100
194.0,194.0,202.0,184.0,202.0,159104400
208.0,208.0,208.0,196.0,196.0,133087600
200.0,200.0,210.0,198.0,210.0,47644500
202.0,202.0,204.0,194.0,202.0,31424200
198.0,198.0,202.0,196.0,202.0,21110900
196.0,196.0,202.0,196.0,198.0,17958300
195.0,195.0,198.0,193.0,197.0,25117600
200.0,200.0,208.0,195.0,196.0,54802800
200.0,200.0,204.0,199.0,199.0,10947600
198.0,198.0,204.0,197.0,200.0,15436200
197.0,197.0,199.0,194.0,197.0,10861900
196.0,196.0,198.0,195.0,196.0,8308000
195.0,195.0,196.0,193.0,195.0,10376700
195.0,195.0,196.0,190.0,190.0,15975900
195.0,195.0,197.0,185.0,185.0,13933500
196.0,196.0,196.0,193.0,195.0,6353000
196.0,196.0,202.0,195.0,196.0,16574200
196.0,196.0,197.0,194.0,196.0,8565600
190.0,190.0,197.0,190.0,196.0,28164600
194.0,194.0,195.0,181.0,191.0,29991000
196.0,196.0,197.0,192.0,194.0,9525000
197.0,197.0,198.0,194.0,195.0,7582200
196.0,196.0,198.0,195.0,197.0,6593700
195.0,195.0,196.0,193.0,195.0,4329900
195.0,195.0,196.0,193.0,196.0,2829700
