Adj Close,Close,High,Low,Open,Volume
VICO.JK,VICO.JK,VICO.JK,VICO.JK,VICO.JK,VICO.JK
125.0,125.0,129.0,122.0,129.0,929400
126.0,126.0,128.0,125.0,125.0,342200
126.0,126.0,128.0,125.0,126.0,128600
126.0,126.0,127.0,125.0,126.0,49800
127.0,127.0,129.0,125.0,126.0,94700
125.0,125.0,127.0,124.0,126.0,45500
119.0,119.0,126.0,119.0,126.0,585900
121.0,121.0,123.0,112.0,112.0,290300
121.0,121.0,125.0,113.0,113.0,720000
121.0,121.0,121.0,114.0,114.0,175500
121.0,121.0,123.0,118.0,118.0,130400
117.0,117.0,121.0,117.0,118.0,375700
118.0,118.0,120.0,117.0,117.0,179200
118.0,118.0,120.0,111.0,111.0,134700
121.0,121.0,121.0,112.0,112.0,115100
117.0,117.0,121.0,114.0,114.0,72000
118.0,118.0,118.0,115.0,115.0,121800
117.0,117.0,118.0,112.0,112.0,60600
116.0,116.0,123.0,113.0,113.0,675900
116.0,116.0,119.0,113.0,113.0,972800
116.0,116.0,120.0,110.0,110.0,316300
116.0,116.0,117.0,113.0,113.0,103200
117.0,117.0,120.0,115.0,115.0,137900
116.0,116.0,118.0,115.0,115.0,186000
117.0,117.0,123.0,113.0,113.0,237500
117.0,117.0,118.0,111.0,111.0,46400
117.0,117.0,117.0,112.0,112.0,170100
117.0,117.0,117.0,111.0,111.0,117500
118.0,118.0,118.0,112.0,112.0,57100
117.0,117.0,118.0,113.0,113.0,13000
119.0,119.0,119.0,112.0,112.0,92700
119.0,119.0,119.0,113.0,113.0,75100
119.0,119.0,119.0,113.0,113.0,4800
118.0,118.0,119.0,113.0,113.0,120000
118.0,118.0,118.0,117.0,118.0,148000
120.0,120.0,133.0,118.0,119.0,2571100
119.0,119.0,123.0,118.0,121.0,130300
119.0,119.0,122.0,117.0,119.0,148000
120.0,120.0,121.0,119.0,121.0,96900
117.0,117.0,120.0,117.0,120.0,91000
118.0,118.0,118.0,115.0,117.0,124700
118.0,118.0,123.0,117.0,117.0,58700
119.0,119.0,120.0,115.0,118.0,164600
121.0,121.0,124.0,118.0,119.0,656300
121.0,121.0,121.0,118.0,120.0,109700
119.0,119.0,120.0,118.0,120.0,27300
116.0,116.0,121.0,116.0,120.0,170100
114.0,114.0,118.0,114.0,118.0,38900
116.0,116.0,116.0,111.0,114.0,184400
113.0,113.0,115.0,113.0,115.0,40500
114.0,114.0,118.0,113.0,115.0,75600
114.0,114.0,114.0,114.0,114.0,23500
114.0,114.0,116.0,111.0,115.0,650100
