Adj Close,Close,High,Low,Open,Volume
VOKS.JK,VOKS.JK,VOKS.JK,VOKS.JK,VOKS.JK,VOKS.JK
197.0,197.0,204.0,190.0,190.0,259800
198.0,198.0,199.0,195.0,195.0,139400
198.0,198.0,199.0,190.0,190.0,2000
197.0,197.0,197.0,194.0,197.0,2300
196.0,196.0,199.0,193.0,195.0,2385100
198.0,198.0,202.0,193.0,193.0,6700
196.0,196.0,202.0,191.0,198.0,363800
195.0,195.0,198.0,190.0,198.0,19100
195.0,195.0,196.0,185.0,196.0,525200
195.0,195.0,197.0,192.0,195.0,131700
198.0,198.0,206.0,190.0,195.0,1477100
198.0,198.0,199.0,193.0,198.0,130700
197.0,197.0,198.0,197.0,197.0,15900
198.0,198.0,198.0,194.0,195.0,44200
198.0,198.0,199.0,194.0,199.0,31200
198.0,198.0,198.0,194.0,194.0,5800
198.0,198.0,198.0,194.0,198.0,32400
197.0,197.0,197.0,193.0,195.0,22600
196.0,196.0,197.0,193.0,194.0,9700
196.0,196.0,198.0,192.0,198.0,41200
195.0,195.0,196.0,191.0,193.0,21000
193.0,193.0,195.0,190.0,192.0,89000
195.0,195.0,196.0,192.0,196.0,26200
198.0,198.0,204.0,194.0,195.0,803600
198.0,198.0,199.0,193.0,197.0,124300
196.0,196.0,198.0,194.0,195.0,467600
194.0,194.0,198.0,194.0,198.0,28300
194.0,194.0,196.0,192.0,194.0,407700
214.0,214.0,216.0,194.0,195.0,15754400
216.0,216.0,218.0,214.0,214.0,7492300
218.0,218.0,220.0,216.0,216.0,4147800
220.0,220.0,222.0,218.0,220.0,4408200
220.0,220.0,220.0,218.0,218.0,951100
222.0,222.0,222.0,218.0,218.0,1811400
222.0,222.0,222.0,220.0,220.0,346300
220.0,220.0,222.0,220.0,220.0,242000
220.0,220.0,222.0,218.0,220.0,814900
220.0,220.0,220.0,218.0,218.0,139400
220.0,220.0,222.0,218.0,220.0,444900
222.0,222.0,224.0,218.0,220.0,1364800
222.0,222.0,222.0,220.0,222.0,1417000
222.0,222.0,222.0,220.0,220.0,275100
222.0,222.0,222.0,220.0,222.0,831000
220.0,220.0,220.0,218.0,220.0,1046300
