Adj Close,Close,High,Low,Open,Volume
WIDI.JK,WIDI.JK,WIDI.JK,WIDI.JK,WIDI.JK,WIDI.JK
33.0,33.0,37.0,33.0,36.0,7181200
36.0,36.0,36.0,32.0,33.0,9621900
39.0,39.0,39.0,36.0,39.0,14737800
37.0,37.0,41.0,36.0,40.0,7910200
35.0,35.0,38.0,35.0,37.0,2592400
33.0,33.0,36.0,33.0,36.0,3128000
33.0,33.0,34.0,31.0,33.0,2306400
32.0,32.0,34.0,31.0,33.0,1830700
33.0,33.0,34.0,31.0,32.0,3066500
31.0,31.0,34.0,31.0,34.0,4619000
31.0,31.0,32.0,30.0,32.0,2200400
31.0,31.0,32.0,29.0,31.0,3790000
31.0,31.0,33.0,29.0,31.0,6371100
30.0,30.0,31.0,29.0,31.0,2489100
29.0,29.0,31.0,29.0,31.0,1920900
29.0,29.0,30.0,28.0,30.0,7639100
29.0,29.0,30.0,28.0,29.0,1697000
27.0,27.0,29.0,27.0,29.0,6283500
26.0,26.0,28.0,26.0,27.0,4157700
27.0,27.0,28.0,26.0,26.0,3440500
26.0,26.0,27.0,25.0,27.0,2964200
27.0,27.0,28.0,25.0,26.0,1977000
27.0,27.0,27.0,25.0,27.0,1445000
26.0,26.0,27.0,25.0,27.0,1174900
25.0,25.0,26.0,25.0,26.0,2122600
23.0,23.0,25.0,23.0,24.0,2136600
22.0,22.0,24.0,22.0,24.0,6441800
20.0,20.0,22.0,20.0,22.0,3347200
21.0,21.0,21.0,19.0,21.0,815500
23.0,23.0,23.0,20.0,21.0,2024300
25.0,25.0,25.0,25.0,25.0,454400
27.0,27.0,27.0,27.0,27.0,1095700
29.0,29.0,29.0,29.0,29.0,1025600
31.0,31.0,31.0,31.0,31.0,1046300
34.0,34.0,34.0,34.0,34.0,3799300
37.0,37.0,37.0,37.0,37.0,3085700
40.0,40.0,40.0,37.0,38.0,62144600
44.0,44.0,44.0,41.0,41.0,66487800
48.0,48.0,48.0,42.0,48.0,130348000
52.0,52.0,52.0,48.0,50.0,58321500
57.0,57.0,57.0,52.0,53.0,81840800
57.0,57.0,57.0,57.0,57.0,0
56.0,56.0,68.0,56.0,64.0,182632800
51.0,51.0,51.0,51.0,51.0,4667200
46.0,46.0,46.0,46.0,46.0,2252100
50.0,50.0,50.0,42.0,42.0,141947000
52.0,52.0,54.0,49.0,51.0,150749800
57.0,57.0,57.0,50.0,51.0,99080300
62.0,62.0,62.0,56.0,56.0,65637100
56.0,56.0,68.0,56.0,63.0,464930600
51.0,51.0,51.0,51.0,51.0,12379000
46.0,46.0,51.0,46.0,46.0,172160500
42.0,42.0,44.0,42.0,42.0,97527700
38.0,38.0,38.0,38.0,38.0,13604200
41.0,41.0,41.0,35.0,35.0,202467600
37.0,37.0,44.0,37.0,41.0,228333800
34.0,34.0,37.0,34.0,34.0,246892900
31.0,31.0,33.0,31.0,31.0,250022600
28.0,28.0,29.0,28.0,28.0,87646200
30.0,30.0,30.0,26.0,26.0,156194500
33.0,33.0,33.0,30.0,31.0,67868000
36.0,36.0,36.0,33.0,33.0,64043100
33.0,33.0,38.0,33.0,36.0,199160900
30.0,30.0,30.0,30.0,30.0,29479400
27.0,27.0,30.0,27.0,27.0,101897100
25.0,25.0,25.0,25.0,25.0,25620200
23.0,23.0,25.0,23.0,23.0,166081800
21.0,21.0,22.0,21.0,21.0,115436400
19.0,19.0,20.0,19.0,19.0,68720400
18.0,18.0,18.0,18.0,18.0,35657200
17.0,17.0,17.0,17.0,17.0,21119900
18.0,18.0,18.0,16.0,16.0,133460400
17.0,17.0,19.0,17.0,18.0,111455800
16.0,16.0,17.0,16.0,17.0,17207800
16.0,16.0,16.0,15.0,16.0,21551400
15.0,15.0,16.0,15.0,16.0,6593600
14.0,14.0,16.0,14.0,15.0,20648100
15.0,15.0,15.0,13.0,14.0,12096000
16.0,16.0,16.0,15.0,16.0,11252500
17.0,17.0,17.0,16.0,16.0,9637900
17.0,17.0,18.0,16.0,17.0,16660000
16.0,16.0,17.0,16.0,17.0,19213000
16.0,16.0,17.0,15.0,15.0,5402800
15.0,15.0,17.0,15.0,15.0,4504700
16.0,16.0,16.0,15.0,15.0,4246200
15.0,15.0,16.0,15.0,16.0,4105400
15.0,15.0,15.0,15.0,15.0,0
15.0,15.0,15.0,15.0,15.0,0
14.0,14.0,14.0,13.0,14.0,4595500
13.0,13.0,14.0,13.0,14.0,12275200
12.0,12.0,13.0,12.0,13.0,10169100
12.0,12.0,13.0,11.0,11.0,9383800
13.0,13.0,13.0,12.0,12.0,5107800
12.0,12.0,13.0,12.0,13.0,1870600
13.0,13.0,13.0,12.0,12.0,7739800
13.0,13.0,14.0,12.0,13.0,8084500
14.0,14.0,14.0,12.0,12.0,3136800
13.0,13.0,14.0,13.0,14.0,5706700
13.0,13.0,13.0,12.0,12.0,2811400
13.0,13.0,13.0,12.0,13.0,1756200
13.0,13.0,13.0,12.0,13.0,1593300
13.0,13.0,13.0,12.0,12.0,3027400
13.0,13.0,13.0,12.0,13.0,2259100
13.0,13.0,13.0,12.0,13.0,2157900
12.0,12.0,13.0,12.0,13.0,2132500
12.0,12.0,13.0,11.0,13.0,1625100
11.0,11.0,12.0,11.0,12.0,7176800
12.0,12.0,12.0,10.0,12.0,2762900
11.0,11.0,12.0,11.0,11.0,1494300
12.0,12.0,12.0,11.0,12.0,952900
11.0,11.0,12.0,11.0,12.0,1841500
11.0,11.0,12.0,10.0,10.0,3132900
11.0,11.0,11.0,10.0,10.0,433700
10.0,10.0,11.0,10.0,11.0,7078100
10.0,10.0,11.0,9.0,9.0,2231900
11.0,11.0,11.0,9.0,11.0,2086000
10.0,10.0,11.0,10.0,11.0,2112200
11.0,11.0,11.0,9.0,9.0,1171600
11.0,11.0,11.0,10.0,10.0,743100
11.0,11.0,11.0,10.0,10.0,1013100
11.0,11.0,11.0,10.0,11.0,321600
10.0,10.0,11.0,10.0,11.0,4202400
10.0,10.0,10.0,9.0,9.0,1297900
10.0,10.0,10.0,9.0,9.0,518700
9.0,9.0,10.0,9.0,9.0,10176700
10.0,10.0,10.0,8.0,8.0,580300
10.0,10.0,10.0,9.0,9.0,779500
9.0,9.0,10.0,9.0,10.0,3819300
10.0,10.0,10.0,9.0,10.0,1327000
10.0,10.0,10.0,9.0,10.0,1418100
10.0,10.0,10.0,9.0,10.0,1023600
9.0,9.0,10.0,9.0,9.0,2246900
9.0,9.0,10.0,8.0,8.0,2262100
9.0,9.0,10.0,8.0,9.0,1741900
9.0,9.0,10.0,8.0,10.0,1184800
9.0,9.0,9.0,8.0,9.0,1470800
9.0,9.0,9.0,8.0,9.0,319700
9.0,9.0,9.0,8.0,8.0,4815500
8.0,8.0,9.0,8.0,9.0,4275600
8.0,8.0,9.0,8.0,9.0,962000
8.0,8.0,9.0,7.0,8.0,5761400
7.0,7.0,8.0,7.0,8.0,14933100
7.0,7.0,7.0,6.0,7.0,17614600
7.0,7.0,7.0,6.0,7.0,8795600
7.0,7.0,7.0,6.0,7.0,4881700
8.0,8.0,8.0,6.0,7.0,9674700
8.0,8.0,8.0,7.0,7.0,945100
7.0,7.0,8.0,7.0,7.0,1493900
8.0,8.0,8.0,7.0,7.0,1228100
8.0,8.0,8.0,7.0,7.0,2028500
8.0,8.0,8.0,7.0,7.0,2317700
8.0,8.0,8.0,7.0,8.0,4837700
7.0,7.0,8.0,7.0,8.0,568500
8.0,8.0,8.0,7.0,7.0,576700
8.0,8.0,8.0,7.0,8.0,1831700
8.0,8.0,9.0,7.0,8.0,3048800
9.0,9.0,9.0,8.0,8.0,4312900
9.0,9.0,9.0,8.0,8.0,2989300
9.0,9.0,10.0,8.0,8.0,6317600
9.0,9.0,9.0,8.0,8.0,12746000
9.0,9.0,10.0,8.0,9.0,12906100
9.0,9.0,10.0,9.0,9.0,2563200
10.0,10.0,10.0,9.0,9.0,12370200
11.0,11.0,11.0,9.0,10.0,5901500
10.0,10.0,11.0,10.0,11.0,17855600
9.0,9.0,10.0,9.0,10.0,3580000
9.0,9.0,9.0,8.0,9.0,3409000
9.0,9.0,9.0,8.0,9.0,2838600
10.0,10.0,10.0,8.0,8.0,2215400
9.0,9.0,10.0,9.0,10.0,3406600
9.0,9.0,10.0,8.0,10.0,3233300
9.0,9.0,10.0,8.0,9.0,975600
9.0,9.0,10.0,8.0,8.0,3795400
10.0,10.0,10.0,8.0,8.0,3254000
10.0,10.0,10.0,9.0,10.0,4654500
9.0,9.0,10.0,9.0,10.0,2570100
10.0,10.0,10.0,9.0,9.0,2338000
10.0,10.0,10.0,9.0,10.0,9724400
10.0,10.0,11.0,9.0,9.0,4114400
9.0,9.0,10.0,9.0,9.0,2586800
9.0,9.0,10.0,9.0,10.0,9794500
10.0,10.0,10.0,9.0,9.0,11742300
11.0,11.0,11.0,10.0,10.0,7728800
12.0,12.0,12.0,11.0,11.0,8351000
13.0,13.0,13.0,12.0,13.0,4471000
14.0,14.0,14.0,13.0,13.0,8884500
14.0,14.0,15.0,13.0,15.0,17518000
13.0,13.0,15.0,13.0,14.0,7407600
13.0,13.0,13.0,12.0,13.0,6140800
13.0,13.0,13.0,12.0,13.0,4313300
12.0,12.0,13.0,12.0,12.0,2083200
12.0,12.0,13.0,12.0,12.0,2621400
13.0,13.0,13.0,12.0,12.0,2126600
12.0,12.0,13.0,12.0,13.0,1999500
12.0,12.0,13.0,12.0,13.0,3327400
12.0,12.0,13.0,12.0,13.0,1090200
12.0,12.0,13.0,12.0,12.0,3178300
12.0,12.0,13.0,12.0,12.0,2370600
12.0,12.0,13.0,12.0,13.0,13260000
12.0,12.0,13.0,12.0,13.0,710200
12.0,12.0,13.0,12.0,13.0,1624200
12.0,12.0,13.0,12.0,13.0,1575000
12.0,12.0,13.0,11.0,13.0,4049300
12.0,12.0,13.0,12.0,13.0,1679800
12.0,12.0,13.0,11.0,13.0,9984700
12.0,12.0,12.0,11.0,11.0,604300
