Adj Close,Close,High,Low,Open,Volume
WINE.JK,WINE.JK,WINE.JK,WINE.JK,WINE.JK,WINE.JK
484.0,484.0,505.0,482.0,492.0,8870200
484.0,484.0,500.0,480.0,484.0,10290200
484.0,484.0,498.0,482.0,488.0,9720700
482.0,482.0,496.0,480.0,484.0,9273100
494.0,494.0,496.0,480.0,486.0,10875700
520.0,520.0,525.0,498.0,498.0,15701800
505.0,505.0,535.0,505.0,530.0,10342800
520.0,520.0,540.0,505.0,515.0,12135400
515.0,515.0,540.0,510.0,530.0,9860900
510.0,510.0,530.0,500.0,520.0,10281800
505.0,505.0,520.0,500.0,510.0,6544700
488.0,488.0,525.0,486.0,510.0,10138400
482.0,482.0,500.0,480.0,488.0,9807000
494.0,494.0,500.0,482.0,484.0,11654100
480.0,480.0,496.0,480.0,494.0,11402400
488.0,488.0,510.0,480.0,482.0,9799400
494.0,494.0,520.0,488.0,488.0,10513200
496.0,496.0,525.0,492.0,494.0,9800900
500.0,500.0,510.0,492.0,496.0,8727200
505.0,505.0,525.0,498.0,505.0,9880900
492.0,492.0,510.0,490.0,505.0,7948200
466.0,466.0,505.0,454.0,500.0,8290000
440.0,440.0,484.0,440.0,468.0,9046000
410.0,410.0,450.0,408.0,442.0,8492000
408.0,408.0,416.0,402.0,414.0,7804500
438.0,438.0,440.0,408.0,410.0,8631700
458.0,458.0,468.0,436.0,438.0,7896600
418.0,418.0,460.0,414.0,460.0,8364700
412.0,412.0,422.0,412.0,418.0,547400
416.0,416.0,420.0,410.0,412.0,407600
420.0,420.0,422.0,414.0,416.0,447100
420.0,420.0,422.0,416.0,416.0,212100
420.0,420.0,424.0,414.0,422.0,641500
418.0,418.0,422.0,416.0,422.0,213100
418.0,418.0,420.0,414.0,418.0,378700
416.0,416.0,418.0,414.0,418.0,218700
404.0,404.0,416.0,402.0,416.0,876100
404.0,404.0,410.0,400.0,404.0,709300
392.0,392.0,404.0,392.0,404.0,838000
374.0,374.0,396.0,370.0,396.0,1566000
364.0,364.0,376.0,350.0,376.0,1719200
364.0,364.0,364.0,364.0,364.0,0
380.0,380.0,390.0,360.0,364.0,909200
404.0,404.0,410.0,378.0,380.0,7839500
428.0,428.0,446.0,406.0,406.0,10420300
412.0,412.0,436.0,406.0,430.0,8355100
414.0,414.0,432.0,414.0,422.0,3717700
414.0,414.0,430.0,414.0,414.0,2478600
420.0,420.0,426.0,410.0,414.0,271900
420.0,420.0,436.0,420.0,420.0,4816400
418.0,418.0,428.0,414.0,424.0,126200
416.0,416.0,420.0,414.0,420.0,195900
414.0,414.0,416.0,410.0,414.0,120900
422.0,422.0,434.0,412.0,420.0,980500
416.0,416.0,420.0,412.0,420.0,34300
410.0,410.0,414.0,402.0,414.0,2950200
412.0,412.0,416.0,406.0,406.0,987500
416.0,416.0,416.0,402.0,416.0,863600
414.0,414.0,426.0,408.0,408.0,2636400
412.0,412.0,416.0,404.0,410.0,2690000
416.0,416.0,422.0,408.0,410.0,441600
410.0,410.0,416.0,408.0,416.0,1713000
408.0,408.0,416.0,408.0,416.0,2788400
408.0,408.0,410.0,408.0,408.0,356800
408.0,408.0,410.0,406.0,410.0,67400
406.0,406.0,410.0,406.0,408.0,68100
406.0,406.0,414.0,406.0,414.0,453400
404.0,404.0,410.0,400.0,410.0,709000
406.0,406.0,410.0,400.0,400.0,199700
402.0,402.0,406.0,398.0,406.0,546400
400.0,400.0,406.0,398.0,398.0,427700
400.0,400.0,404.0,400.0,404.0,131200
398.0,398.0,402.0,398.0,402.0,26400
400.0,400.0,402.0,398.0,402.0,119500
402.0,402.0,402.0,398.0,400.0,60400
400.0,400.0,400.0,400.0,400.0,74600
