Adj Close,Close,High,Low,Open,Volume
ZATA.JK,ZATA.JK,ZATA.JK,ZATA.JK,ZATA.JK,ZATA.JK
50.0,50.0,50.0,50.0,50.0,8400
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,24900
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,8300
50.0,50.0,50.0,50.0,50.0,52500
50.0,50.0,50.0,50.0,50.0,42500
50.0,50.0,50.0,50.0,50.0,6000
50.0,50.0,50.0,50.0,50.0,5600
50.0,50.0,50.0,50.0,50.0,220000
50.0,50.0,50.0,50.0,50.0,6300
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,43000
50.0,50.0,50.0,50.0,50.0,25600
50.0,50.0,50.0,50.0,50.0,86200
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,3100
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,6500
50.0,50.0,50.0,50.0,50.0,1700
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,4100
50.0,50.0,50.0,50.0,50.0,6800
50.0,50.0,50.0,50.0,50.0,3400
50.0,50.0,50.0,50.0,50.0,2500
50.0,50.0,50.0,50.0,50.0,380300
50.0,50.0,50.0,50.0,50.0,5800
50.0,50.0,50.0,50.0,50.0,2500
50.0,50.0,50.0,50.0,50.0,8800
50.0,50.0,50.0,50.0,50.0,14500
50.0,50.0,50.0,50.0,50.0,1800
50.0,50.0,50.0,50.0,50.0,3700
50.0,50.0,50.0,50.0,50.0,24700
50.0,50.0,50.0,50.0,50.0,16900
50.0,50.0,50.0,50.0,50.0,5500
50.0,50.0,50.0,50.0,50.0,11900
50.0,50.0,50.0,50.0,50.0,4900
50.0,50.0,50.0,50.0,50.0,7600
50.0,50.0,50.0,50.0,50.0,2200
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,2300
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,41400
50.0,50.0,50.0,50.0,50.0,5700
50.0,50.0,50.0,50.0,50.0,8500
50.0,50.0,50.0,50.0,50.0,8600
50.0,50.0,50.0,50.0,50.0,66900
50.0,50.0,50.0,50.0,50.0,9900
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,2100
50.0,50.0,50.0,50.0,50.0,2000
50.0,50.0,50.0,50.0,50.0,2100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,6100
50.0,50.0,50.0,50.0,50.0,18500
50.0,50.0,50.0,50.0,50.0,14900
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,30200
50.0,50.0,50.0,50.0,50.0,1500
50.0,50.0,50.0,50.0,50.0,2100
50.0,50.0,50.0,50.0,50.0,2200
50.0,50.0,50.0,50.0,50.0,65000
50.0,50.0,50.0,50.0,50.0,64300
50.0,50.0,50.0,50.0,50.0,8700
50.0,50.0,50.0,50.0,50.0,2600
50.0,50.0,50.0,50.0,50.0,60800
50.0,50.0,50.0,50.0,50.0,3100
50.0,50.0,50.0,50.0,50.0,9200
50.0,50.0,50.0,50.0,50.0,700
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,5100
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,3200
50.0,50.0,50.0,50.0,50.0,3900
50.0,50.0,50.0,50.0,50.0,2400
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,8000
